恶臭,惡臭,通过释放臭臭的气味，在攻击的时候，有时会使对手畏缩。,發出臭氣，在攻擊的時候，有時會使對手畏縮。,通過釋放臭臭的氣味，在攻擊的時候，有時會使對手畏縮。
降雨,降雨,出场时，会将天气变为下雨。,出場時，會將天氣變為下雨。,出場時，會將天氣變為下雨。
加速,加速,每一回合速度会变快。,每一回合速度會變快。,每一回合速度會變快。
战斗盔甲,戰鬥盔甲,被坚硬的甲壳守护着，不会被对手的攻击击中要害。,被堅硬的甲殼守護著，不會被對手的攻擊擊中要害。,被堅硬的甲殼守護著，不會被對手的攻擊擊中要害。
结实,結實,即使受到对手的招式攻击，也不会被一击打倒。一击必杀的招式也没有效果。,受到對手的招式攻擊時不會被一擊打倒。一擊必殺的招式也沒有效果。,即使受到對手的招式攻擊，也不會被一擊打倒。一擊必殺的招式也沒有效果。
湿气,濕氣,通过把周围都弄湿，使谁都无法使用自爆等爆炸类的招式。,透過把周圍都弄濕，使誰都無法使用自爆等爆炸類的招式。,通過把周圍都弄濕，使誰都無法使用自爆等爆炸類的招式。
柔软,柔軟,因为身体柔软，不会变为麻痹状态。,因為身體柔軟，不會陷入麻痺狀態。,因為身體柔軟，不會變為麻痺狀態。
沙隐,沙隱,在沙暴的时候，闪避率会提高。,在沙暴中閃避率會提高。,在沙暴的時候，閃避率會提高。
静电,靜電,身上带有静电，有时会让接触到的对手麻痹。,身上帶有靜電，有時會令接觸到的對手麻痺。,身上帶有靜電，有時會讓接觸到的對手麻痺。
蓄电,蓄電,受到电属性的招式攻击时，不会受到伤害，而是会回复。,受到電屬性的招式攻擊時，不會受到傷害，而是會回復。,受到電屬性的招式攻擊時，不會受到傷害，而是會回復。
储水,儲水,受到水属性的招式攻击时，不会受到伤害，而是会回复。,受到水屬性的招式攻擊時，不會受到傷害，而是會回復。,受到水屬性的招式攻擊時，不會受到傷害，而是會回復。
迟钝,遲鈍,因为感觉迟钝，不会变为着迷和被挑衅状态。,感覺遲鈍，不會陷入著迷和被挑釁狀態。,因為感覺遲鈍，不會變為著迷和被挑釁狀態。
无关天气,無關天氣,任何天气的影响都会消失。,任何天氣的影響都會消失。,任何天氣的影響都會消失。
复眼,複眼,因为拥有复眼，招式的命中率会提高。,因為擁有複眼，會提高招式的命中率。,因為擁有複眼，招式的命中率會提高。
不眠,不眠,因为是不会睡觉的体质，所以不会变为睡眠状态。,因為擁有不會睡覺的體質，所以不會陷入睡眠狀態。,因為是不會睡覺的體質，所以不會變為睡眠狀態。
变色,變色,自己的属性会变为从对手处所受招式的属性。,自己的屬性會變為從對手所受招式的屬性。,自己的屬性會變為從對手處所受招式的屬性。
免疫,免疫,因为体内拥有免疫能力，不会变为中毒状态。,因為體內擁有免疫能力，不會陷入中毒狀態。,因為體內擁有免疫能力，不會變為中毒狀態。
引火,引火,受到火属性的招式攻击时，吸收火焰，自己使出的火属性招式会变强。,受到火屬性的招式攻擊時，吸收火焰，讓自己使出的火屬性招式變強。,受到火屬性的招式攻擊時，吸收火焰，自己使出的火屬性招式會變強。
鳞粉,鱗粉,被鳞粉守护着，不会受到招式的追加效果影响。,被鱗粉守護著，不會受到招式的追加效果影響。,被鱗粉守護著，不會受到招式的追加效果影響。
我行我素,我行我素,因为我行我素，不会变为混乱状态。,因為我行我素，不會陷入混亂狀態。,因為我行我素，不會變為混亂狀態。
吸盘,吸盤,用吸盘牢牢贴在地面上，让替换宝可梦的招式和道具无效。,用吸盤將自己牢牢吸附在地面上，讓替換寶可夢的招式和道具失效。,用吸盤牢牢貼在地面上，讓替換寶可夢的招式和道具無效。
威吓,威嚇,出场时威吓对手，让其退缩，降低对手的攻击。,出場時威嚇對手，使其退縮，從而降低對手的攻擊。,出場時威嚇對手，讓其退縮，降低對手的攻擊。
踩影,踩影,踩住对手的影子使其无法逃走或替换。,踩住對手的影子使其無法逃走或替換。,踩住對手的影子使其無法逃走或替換。
粗糙皮肤,粗糙皮膚,受到攻击时，用粗糙的皮肤弄伤接触到自己的对手。,受到攻擊時，用粗糙的皮膚弄傷接觸到自己的對手。,受到攻擊時，用粗糙的皮膚弄傷接觸到自己的對手。
神奇守护,神奇守護,不可思议的力量，只有效果绝佳的招式才能击中。,不可思議的力量，只有效果絕佳的招式才會擊中自己。,不可思議的力量，只有效果絕佳的招式才能擊中。
飘浮,飄浮,从地面浮起，从而不会受到地面属性招式的攻击。,從地面浮起，從而不會受到地面屬性招式的攻擊。,從地面浮起，從而不會受到地面屬性招式的攻擊。
孢子,孢子,受到攻击时，有时会把接触到自己的对手变为中毒、麻痹或睡眠状态。,透過攻擊有時會使接觸到自己的對手，陷入中毒、麻痺或睡眠狀態。,受到攻擊時，有時會把接觸到自己的對手變為中毒、麻痺或睡眠狀態。
同步,同步,将自己的中毒、麻痹或灼伤状态传染给对手。,將自己的中毒、麻痺或灼傷狀態傳染給對手。,將自己的中毒、麻痺或灼傷狀態傳染給對手。
恒净之躯,恆淨之軀,不会因为对手的招式或特性而被降低能力。,不會因對手的招式或特性而被降低能力。,不會因為對手的招式或特性而被降低能力。
自然回复,自然回復,回到同行队伍后，异常状态就会被治愈。,異常狀態會在離場後治癒。,回到同行隊伍後，異常狀態就會被治癒。
避雷针,避雷針,将电属性的招式吸引到自己身上，不会受到伤害，而是会提高特攻。,將電屬性的招式吸引到自己身上，不但不會受到傷害，反而會提高特攻。,將電屬性的招式吸引到自己身上，不會受到傷害，而是會提高特攻。
天恩,天恩,托天恩的福，招式的追加效果容易出现。,受到上天保佑，容易出現招式的追加效果。,托天恩的福，招式的追加效果容易出現。
悠游自如,悠游自如,下雨天气时，速度会提高。,天氣為下雨時，速度會提高。,下雨天氣時，速度會提高。
叶绿素,葉綠素,晴朗天气时，速度会提高。,天氣為晴朗時，速度會提高。,晴朗天氣時，速度會提高。
发光,發光,通过让周围变亮，变得容易遇到野生的宝可梦。,透過讓周圍變亮，變得容易遇見野生的寶可夢。,通過讓周圍變亮，變得容易遇到野生的寶可夢。
复制,複製,出场时，复制对手的特性，变为与之相同的特性。,出場時，複製對手的特性，變為與之相同的特性。,出場時，複製對手的特性，變為與之相同的特性。
大力士,大力士,物理攻击的威力会变为２倍。,物理攻擊的威力會變為２倍。,物理攻擊的威力會變為２倍。
毒刺,毒刺,有时会让接触到自己的对手变为中毒状态。,有時會讓接觸到自己的對手陷入中毒狀態。,有時會讓接觸到自己的對手變為中毒狀態。
精神力,精神力,通过锻炼精神，不会因对手的攻击而畏缩。,靠著經過鍛鍊精神，不會因對手的攻擊而畏縮。,通過鍛鍊精神，不會因對手的攻擊而畏縮。
熔岩铠甲,熔岩鎧甲,将炽热的熔岩覆盖在身上，不会变为冰冻状态。,將熾熱的熔岩覆蓋在身上，不會陷入冰凍狀態。,將熾熱的熔岩覆蓋在身上，不會變為冰凍狀態。
水幕,水幕,将水幕裹在身上，不会变为灼伤状态。,將水幕裹在身上，不會陷入灼傷狀態。,將水幕裹在身上，不會變為灼傷狀態。
磁力,磁力,用磁力吸住钢属性的宝可梦，使其无法逃走。,用磁力吸住鋼屬性的寶可夢，使其無法逃走。,用磁力吸住鋼屬性的寶可夢，使其無法逃走。
隔音,隔音,通过屏蔽声音，不受到声音招式的攻击。,透過遮蔽聲音，不受到聲音招式的攻擊。,通過屏蔽聲音，不受到聲音招式的攻擊。
雨盘,雨盤,下雨天气时，会缓缓回复ＨＰ。,天氣為下雨時，會漸漸回復ＨＰ。,下雨天氣時，會緩緩回復ＨＰ。
扬沙,揚沙,出场时，会把天气变为沙暴。,出場時，會把天氣變為沙暴。,出場時，會把天氣變為沙暴。
压迫感,壓迫感,给予对手压迫感，大量减少其使用招式的ＰＰ。,給予對手壓迫感，大量減少其使用招式的ＰＰ。,給予對手壓迫感，大量減少其使用招式的ＰＰ。
厚脂肪,厚脂肪,因为被厚厚的脂肪保护着，会让火属性和冰属性的招式伤害减半。,被厚厚的脂肪保護著，能夠讓火屬性和冰屬性招式的傷害減半。,因為被厚厚的脂肪保護著，會讓火屬性和冰屬性的招式傷害減半。
早起,早起,即使变为睡眠状态，也能以２倍的速度提早醒来。,即使陷入睡眠狀態，也能以２倍的速度提早醒來。,即使變為睡眠狀態，也能以２倍的速度提早醒來。
火焰之躯,火焰之軀,有时会让接触到自己的对手变为灼伤状态。,有時會讓接觸到自己的對手陷入灼傷狀態。,有時會讓接觸到自己的對手變為灼傷狀態。
逃跑,逃跑,一定能从野生宝可梦那儿逃走。,一定能從野生寶可夢那裡逃走。,一定能從野生寶可夢那兒逃走。
锐利目光,銳利目光,多亏了锐利的目光，命中率不会被降低。,靠著銳利的目光，命中率不會被降低。,多虧了銳利的目光，命中率不會被降低。
怪力钳,怪力鉗,因为拥有以力量自豪的钳子，不会被对手降低攻击。,因為擁有以力量為傲的鉗子，不會被對手降低攻擊。,因為擁有以力量自豪的鉗子，不會被對手降低攻擊。
捡拾,撿拾,有时会捡来对手用过的道具，冒险过程中也会捡到。,有時會撿來對手用過的道具。冒險過程中也會撿來。,有時會撿來對手用過的道具，冒險過程中也會撿到。
懒惰,懶惰,如果使出招式，下一回合就会休息。,如果使出招式，下一回合就需要休息。,如果使出招式，下一回合就會休息。
活力,活力,自己的攻击变高，但命中率会降低。,自己的攻擊雖會變高，但命中率會降低。,自己的攻擊變高，但命中率會降低。
迷人之躯,迷人之軀,有时会让接触到自己的对手着迷。,有時會讓接觸到自己的對手陷入著迷狀態。,有時會讓接觸到自己的對手著迷。
正电,正電,出场的伙伴之间如果有正电或负电特性的宝可梦，自己的特攻会提高。,場上的夥伴之中，如果有正電或負電特性的寶可夢，自己的特攻會提高。,出場的夥伴之間如果有正電或負電特性的寶可夢，自己的特攻會提高。
负电,負電,出场的伙伴之间如果有正电或负电特性的宝可梦，自己的特攻会提高。,場上的夥伴之中，如果有正電或負電特性的寶可夢，自己的特攻會提高。,出場的夥伴之間如果有正電或負電特性的寶可夢，自己的特攻會提高。
阴晴不定,陰晴不定,受天气的影响，会变为水属性、火属性或冰属性中的某一个。,在天氣的影響下，會變成水屬性、火屬性或冰屬性之中的一種。,受天氣的影響，會變為水屬性、火屬性或冰屬性中的某一個。
黏着,黏著,因为道具是粘在黏性身体上的，所以不会被对手夺走。,道具會黏在具有黏性的身體上，不會被對手奪走。,因為道具是黏在黏性身體上的，所以不會被對手奪走。
蜕皮,蛻皮,通过蜕去身上的皮，有时会治愈异常状态。,透過蛻去身上的皮，有時會治癒異常狀態。,通過蛻去身上的皮，有時會治癒異常狀態。
毅力,毅力,如果变为异常状态，会拿出毅力，攻击会提高。,陷入異常狀態時，會拿出毅力，攻擊會提高。,如果變為異常狀態，會拿出毅力，攻擊會提高。
神奇鳞片,神奇鱗片,如果变为异常状态，神奇鳞片会发生反应，防御会提高。,陷入異常狀態時，神奇鱗片會發生反應，防禦會提高。,如果變為異常狀態，神奇鱗片會發生反應，防禦會提高。
污泥浆,污泥漿,吸收了污泥浆的对手会因强烈的恶臭而受到伤害，减少ＨＰ。,吸收了污泥漿的對手會因為強烈的惡臭而使得ＨＰ減少。,吸收了污泥漿的對手會因強烈的惡臭而受到傷害，減少ＨＰ。
茂盛,茂盛,ＨＰ减少的时候，草属性的招式威力会提高。,ＨＰ減少的時候，草屬性的招式威力會提高。,ＨＰ減少的時候，草屬性的招式威力會提高。
猛火,猛火,ＨＰ减少的时候，火属性的招式威力会提高。,ＨＰ減少的時候，火屬性的招式威力會提高。,ＨＰ減少的時候，火屬性的招式威力會提高。
激流,激流,ＨＰ减少的时候，水属性的招式威力会提高。,ＨＰ減少的時候，水屬性的招式威力會提高。,ＨＰ減少的時候，水屬性的招式威力會提高。
虫之预感,蟲之預感,ＨＰ减少的时候，虫属性的招式威力会提高。,ＨＰ減少的時候，蟲屬性的招式威力會提高。,ＨＰ減少的時候，蟲屬性的招式威力會提高。
坚硬脑袋,堅硬腦袋,即使使出会受反作用力伤害的招式，ＨＰ也不会减少。,即使使出會受反作用力傷害的招式，ＨＰ也不會減少。,即使使出會受反作用力傷害的招式，ＨＰ也不會減少。
日照,日照,出场时，会将天气变为晴朗。,出場時，會將天氣變為晴朗。,出場時，會將天氣變為晴朗。
沙穴,沙穴,在战斗中让对手无法逃走。,在戰鬥中讓對手無法逃走。,在戰鬥中讓對手無法逃走。
干劲,幹勁,通过激发出干劲，不会变为睡眠状态。,透過激發出幹勁，不會陷入睡眠狀態。,通過激發出幹勁，不會變為睡眠狀態。
白色烟雾,白色煙霧,被白色烟雾保护着，不会被对手降低能力。,被白色煙霧保護著，不會被對手降低能力。,被白色煙霧保護著，不會被對手降低能力。
瑜伽之力,瑜伽之力,因瑜伽的力量，物理攻击的威力会变为２倍。,因瑜伽的力量，物理攻擊的威力會變為２倍。,因瑜伽的力量，物理攻擊的威力會變為２倍。
硬壳盔甲,硬殼盔甲,被坚硬的壳保护着，对手的攻击不会击中要害。,被堅硬的殼保護著，對手的攻擊不會擊中要害。,被堅硬的殼保護著，對手的攻擊不會擊中要害。
气闸,氣閘,所有天气的影响都会消失。,所有天氣的影響都會消失。,所有天氣的影響都會消失。
蹒跚,蹣跚,在混乱状态时，闪避率会提高。,陷入混亂狀態時，閃避率會提高。,在混亂狀態時，閃避率會提高。
电气引擎,電氣引擎,受到电属性的招式攻击时，不会受到伤害，而是速度会提高。,受到電屬性的招式攻擊時，不但不會受到傷害，反而速度會提高。,受到電屬性的招式攻擊時，不會受到傷害，而是速度會提高。
斗争心,鬥爭心,面对性别相同的对手，会燃起斗争心，变得更强。而面对性别不同的，则会变弱。,面對性別相同的對手，會燃起鬥爭心，變得更強。面對性別不同的對手時則會變弱。,面對性別相同的對手，會燃起鬥爭心，變得更強。而面對性別不同的，則會變弱。
不屈之心,不屈之心,每次畏缩时，不屈之心就会燃起，速度也会提高。,每次畏縮時，不屈之心就會燃起，速度也會提高。,每次畏縮時，不屈之心就會燃起，速度也會提高。
雪隐,雪隱,冰雹天气时，闪避率会提高。,天氣是冰雹時，閃避率會提高。,冰雹天氣時，閃避率會提高。
贪吃鬼,貪吃鬼,原本ＨＰ变得很少时才会吃树果，在ＨＰ还有一半时就会把它吃掉。,原本ＨＰ變得很少時才會吃的樹果，在ＨＰ還有一半時就會把它吃掉。,原本ＨＰ變得很少時才會吃樹果，在ＨＰ還有一半時就會把它吃掉。
愤怒穴位,憤怒穴位,要害被击中时，会大发雷霆，攻击力变为最大。,要害被擊中時會大發雷霆。攻擊力會提高到最大。,要害被擊中時，會大發雷霆，攻擊力變為最大。
轻装,輕裝,失去所持有的道具时，速度会提高。,失去所持有的道具時，速度會提高。,失去所持有的道具時，速度會提高。
耐热,耐熱,耐热的体质会让火属性的招式威力减半。,靠著耐熱的體質，讓火屬性的招式威力減半。,耐熱的體質會讓火屬性的招式威力減半。
单纯,單純,能力变化会变为平时的２倍。,能力變化會變為平時的２倍。,能力變化會變為平時的２倍。
干燥皮肤,乾燥皮膚,下雨天气时和受到水属性的招式时，ＨＰ会回复。晴朗天气时和受到火属性的招式时，ＨＰ会减少。,下雨天氣時和受到水屬性的招式攻擊時，HP會回復。晴朗天氣時和受到火屬性的招式攻擊時，ＨＰ會減少。,下雨天氣時和受到水屬性的招式時，ＨＰ會回復。晴朗天氣時和受到火屬性的招式時，ＨＰ會減少。
下载,下載,比较对手的防御和特防，根据较低的那项能力相应地提高自己的攻击或特攻。,比較對手的防禦和特防，根據較低的那項能力相應地提高自己的攻擊或特攻。,比較對手的防禦和特防，根據較低的那項能力相應地提高自己的攻擊或特攻。
铁拳,鐵拳,使用拳类招式的威力会提高。,使用到拳頭的招式威力會提高。,使用拳類招式的威力會提高。
毒疗,毒療,变为中毒状态时，ＨＰ不会减少，反而会增加起来。,陷入中毒狀態時，ＨＰ不會減少，反而會漸漸增加。,變為中毒狀態時，ＨＰ不會減少，反而會增加起來。
适应力,適應力,与自身同属性的招式威力会提高。,與自身同屬性的招式威力會提高。,與自身同屬性的招式威力會提高。
连续攻击,連續攻擊,如果使用连续招式，总是能使出最高次数。,若使用連續招式，總是可使出最高次數。,如果使用連續招式，總是能使出最高次數。
湿润之躯,濕潤之軀,下雨天气时，异常状态会治愈。,天氣為下雨時，會治癒異常狀態。,下雨天氣時，異常狀態會治癒。
太阳之力,太陽之力,晴朗天气时，特攻会提高，而每回合ＨＰ会减少。,晴朗天氣時特攻會提高，但每回合ＨＰ會減少。,晴朗天氣時，特攻會提高，而每回合ＨＰ會減少。
飞毛腿,飛毛腿,变为异常状态时，速度会提高。,陷入異常狀態時，速度會提高。,變為異常狀態時，速度會提高。
一般皮肤,一般皮膚,无论是什么属性的招式，全部会变为一般属性。威力会少量提高。,無論是什麼屬性的招式，全部都會變為一般屬性。威力會少量提高。,無論是什麼屬性的招式，全部會變為一般屬性。威力會少量提高。
狙击手,狙擊手,击中要害时，威力会变得更强。,擊中要害時，威力會進一步提高。,擊中要害時，威力會變得更強。
魔法防守,魔法防守,不会受到攻击以外的伤害。,不會受到攻擊以外的傷害。,不會受到攻擊以外的傷害。
无防守,無防守,由于无防守战术，双方使出的招式都必定会击中。,由於無防守戰術，雙方使出的招式都必定會擊中。,由於無防守戰術，雙方使出的招式都必定會擊中。
慢出,慢出,使出招式的顺序必定会变为最后。,使出招式的順序必定會變為最後。,使出招式的順序必定會變為最後。
技术高手,技術高手,攻击时可以将低威力招式的威力提高。,可讓威力低的招式提高威力來進行攻擊。,攻擊時可以將低威力招式的威力提高。
叶子防守,葉子防守,晴朗天气时，不会变为异常状态。,天氣為晴朗時，不會陷入異常狀態。,晴朗天氣時，不會變為異常狀態。
笨拙,笨拙,无法使用持有的道具。,無法使用持有的道具。,無法使用持有的道具。
破格,破格,可以不受对手特性的干扰，向对手使出招式。,可不受特性影響，向對手使出招式。,可以不受對手特性的干擾，向對手使出招式。
超幸运,超幸運,因为拥有超幸运，攻击容易击中对手的要害。,因為非常幸運，容易擊中對手的要害。,因為擁有超幸運，攻擊容易擊中對手的要害。
引爆,引爆,变为濒死时，会对接触到自己的对手造成伤害。,瀕死時，會對接觸到自己的對手造成傷害。,變為瀕死時，會對接觸到自己的對手造成傷害。
危险预知,危險預知,可以察觉到对手拥有的危险招式。,察覺對手持有的危險招式。,可以察覺到對手擁有的危險招式。
预知梦,預知夢,出场时，只读取１个对手拥有的招式。,出場時，預見1個對手持有的招式。,出場時，只讀取１個對手擁有的招式。
纯朴,純樸,可以无视对手能力的变化，进行攻击。,可無視對手能力的變化，進行攻擊。,可以無視對手能力的變化，進行攻擊。
有色眼镜,有色眼鏡,可以将效果不好的招式以通常的威力使出。,可將效果不好的招式以正常的威力使出。,可以將效果不好的招式以通常的威力使出。
过滤,過濾,受到效果绝佳的攻击时，可以减弱其威力。,受到效果絕佳的攻擊時，可減弱其威力。,受到效果絕佳的攻擊時，可以減弱其威力。
慢启动,慢啟動,在５回合内，攻击和速度减半。,在５回合內，攻擊和速度會減半。,在５回合內，攻擊和速度減半。
胆量,膽量,一般属性和格斗属性的招式可以击中幽灵属性的宝可梦。,一般屬性和格鬥屬性的招式可擊中幽靈屬性的寶可夢。,一般屬性和格鬥屬性的招式可以擊中幽靈屬性的寶可夢。
