大师球,大師球,必定能捉到野生宝可梦的，性能最好的球。,性能最好的球。必定能捉到野生寶可夢。,必定能捉到野生寶可夢的，性能最好的球。
高级球,高級球,比起超级球来更容易捉到宝可梦的，性能非常不错的球。,性能非常不錯的球。比起超級球更容易捉到寶可夢。,比起超級球來更容易捉到寶可夢的，性能非常不錯的球。
超级球,超級球,比起精灵球来更容易捉到宝可梦的，性能还算不错的球。,性能還算不錯的球。比起精靈球更容易捉到寶可夢。,比起精靈球來更容易捉到寶可夢的，性能還算不錯的球。
精灵球,精靈球,用于投向野生宝可梦并将其捕捉的球。它是胶囊样式的。,用於投向野生寶可夢並將其捕捉的球。它是膠囊樣式的。,用於投向野生寶可夢並將其捕捉的球。它是膠囊樣式的。
狩猎球,狩獵球,仅能在大湿地中使用的特殊的球。上面有迷彩花纹。,僅能在大濕地中使用的特殊的球。上面有迷彩花紋。,僅能在大溼地中使用的特殊的球。上面有迷彩花紋。
捕网球,捕網球,有点与众不同的球。能很容易地捕捉水属性和虫属性的宝可梦。,有點與眾不同的球。能更容易地捉到水屬性和蟲屬性寶可夢。,有點與眾不同的球。能很容易地捕捉水屬性和蟲屬性的寶可夢。
潜水球,潛水球,有点与众不同的球。能很容易地捕捉生活在水世界里的宝可梦。,有點與眾不同的球。能更容易地捉到生活在水中世界的寶可夢。,有點與眾不同的球。能很容易地捕捉生活在水世界裡的寶可夢。
巢穴球,巢穴球,有点与众不同的球。捕捉的野生宝可梦越弱，就会越容易捕捉。,有點與眾不同的球。捕捉的野生寶可夢越弱，就越容易捉到。,有點與眾不同的球。捕捉的野生寶可夢越弱，就會越容易捕捉。
重复球,重複球,有点与众不同的球。能很容易地捕捉以前曾捉到过的宝可梦。,有點與眾不同的球。曾經捉到過的寶可夢會變得容易捉到。,有點與眾不同的球。能很容易地捕捉以前曾捉到過的寶可夢。
计时球,計時球,有点与众不同的球。回合数花费得越多，宝可梦就会越容易捕捉。,有點與眾不同的球。回合數花費得越多，就越容易捉到寶可夢。,有點與眾不同的球。回合數花費得越多，寶可夢就會越容易捕捉。
豪华球,豪華球,住着十分惬意的球。捉到的野生宝可梦会变得容易和训练家亲密。,住起來十分舒適的球。捉到的野生寶可夢會很容易和訓練家變得親密。,住著十分愜意的球。捉到的野生寶可夢會變得容易和訓練家親密。
纪念球,紀念球,有点珍贵的球。特制出来的某种纪念品。,作為某種紀念品而特別製造的，有點稀奇的球。,有點珍貴的球。特製出來的某種紀念品。
黑暗球,黑暗球,有点与众不同的球。能很容易地在夜晚或洞窟等阴暗的地方捕捉宝可梦。,有點與眾不同的球。容易在夜晚或洞窟等陰暗的地方捉到寶可夢。,有點與眾不同的球。能很容易地在夜晚或洞窟等陰暗的地方捕捉寶可夢。
治愈球,治癒球,有点温柔的球。能回复捉到的宝可梦的ＨＰ并治愈异常状态。,有點溫柔的球。能回復捉到的寶可夢的ＨＰ並治癒異常狀態。,有點溫柔的球。能回復捉到的寶可夢的ＨＰ並治癒異常狀態。
先机球,先機球,有点与众不同的球。如果战斗开始后立刻使用，就能很容易地捉到宝可梦。,有點與眾不同的球。在戰鬥開始後立刻使用，就會變得容易捉到寶可夢。,有點與眾不同的球。如果戰鬥開始後立刻使用，就能很容易地捉到寶可夢。
贵重球,貴重球,相当珍贵的球。特制出来的某种纪念品。,作為某種紀念品而特別製造的，頗稀奇的球。,相當珍貴的球。特製出來的某種紀念品。
伤药,傷藥,喷雾式伤药。能让１只宝可梦回复２０ＨＰ。,噴霧式傷藥。能讓１隻寶可夢回復２０ＨＰ。,噴霧式傷藥。能讓１只寶可夢回復２０ＨＰ。
解毒药,解毒藥,喷雾式药水。能治愈１只宝可梦的中毒状态。,噴霧式藥水。能治癒１隻寶可夢的中毒狀態。,噴霧式藥水。能治癒１只寶可夢的中毒狀態。
灼伤药,灼傷藥,喷雾式药水。能治愈１只宝可梦的灼伤状态。,噴霧式藥水。能治癒１隻寶可夢的灼傷狀態。,噴霧式藥水。能治癒１只寶可夢的灼傷狀態。
解冻药,解凍藥,喷雾式药水。能治愈１只宝可梦的冰冻状态。,噴霧式藥水。能治癒１隻寶可夢的冰凍狀態。,噴霧式藥水。能治癒１只寶可夢的冰凍狀態。
解眠药,解眠藥,喷雾式药水。能治愈１只宝可梦的睡眠状态。,噴霧式藥水。能治癒１隻寶可夢的睡眠狀態。,噴霧式藥水。能治癒１只寶可夢的睡眠狀態。
解麻药,解麻藥,喷雾式药水。能治愈１只宝可梦的麻痹状态。,噴霧式藥水。能治癒１隻寶可夢的麻痺狀態。,噴霧式藥水。能治癒１只寶可夢的麻痺狀態。
全复药,全復藥,能回复１只宝可梦的所有ＨＰ并治愈所有异常状态。,能回復１隻寶可夢的所有ＨＰ並治癒所有異常狀態。,能回復１只寶可夢的所有ＨＰ並治癒所有異常狀態。
全满药,全滿藥,喷雾式伤药。能让１只宝可梦回复所有ＨＰ。,噴霧式傷藥。能讓１隻寶可夢回復所有ＨＰ。,噴霧式傷藥。能讓１只寶可夢回復所有ＨＰ。
厉害伤药,厲害傷藥,喷雾式伤药。能让１只宝可梦回复１２０ＨＰ。,噴霧式傷藥。能讓１隻寶可夢回復１２０ＨＰ。,噴霧式傷藥。能讓１只寶可夢回復１２０ＨＰ。
好伤药,好傷藥,喷雾式伤药。能让１只宝可梦回复６０ＨＰ。,噴霧式傷藥。能讓１隻寶可夢回復６０ＨＰ。,噴霧式傷藥。能讓１只寶可夢回復６０ＨＰ。
万灵药,萬靈藥,喷雾式药水。能治愈１只宝可梦的所有异常状态。,噴霧式藥水。能治癒１隻寶可夢的所有異常狀態。,噴霧式藥水。能治癒１只寶可夢的所有異常狀態。
活力碎片,活力碎片,能让１只陷入濒死的宝可梦重获生机，并回复一半ＨＰ。,能讓１隻陷入瀕死的寶可夢重獲生機，並回復一半ＨＰ。,能讓１只陷入瀕死的寶可夢重獲生機，並回復一半ＨＰ。
活力块,活力塊,能让１只陷入濒死的宝可梦重获生机，并回复所有ＨＰ。,能讓１隻陷入瀕死的寶可夢重獲生機，並回復所有ＨＰ。,能讓１只陷入瀕死的寶可夢重獲生機，並回復所有ＨＰ。
美味之水,美味之水,富含矿物质的水。能让１只宝可梦回复３０ＨＰ。,含有豐富礦物質的水。能讓１隻寶可夢回復３０ＨＰ。,富含礦物質的水。能讓１只寶可夢回復３０ＨＰ。
劲爽汽水,勁爽汽水,翻腾着气泡的汽水。能让１只宝可梦回复５０ＨＰ。,冒著氣泡的汽水。能讓１隻寶可夢回復５０ＨＰ。,翻騰著氣泡的汽水。能讓１只寶可夢回復５０ＨＰ。
果汁牛奶,果汁牛奶,非常香甜的牛奶。能让１只宝可梦回复７０ＨＰ。,非常甜的果汁。能讓１隻寶可夢回復７０ＨＰ。,非常香甜的牛奶。能讓１只寶可夢回復７０ＨＰ。
哞哞鲜奶,哞哞鮮奶,营养百分百的牛奶。能让１只宝可梦回复１００ＨＰ。,營養滿分的鮮奶。能讓１隻寶可夢回復１００ＨＰ。,營養百分百的牛奶。能讓１只寶可夢回復１００ＨＰ。
元气粉,元氣粉,非常苦的药粉。能让１只宝可梦回复６０ＨＰ。,非常苦的藥粉。能讓１隻寶可夢回復６０ＨＰ。,非常苦的藥粉。能讓１只寶可夢回復６０ＨＰ。
元气根,元氣根,非常苦的根。能让１只宝可梦回复１２０ＨＰ。,非常苦的根。能讓１隻寶可夢回復１２０ＨＰ。,非常苦的根。能讓１只寶可夢回復１２０ＨＰ。
万能粉,萬能粉,非常苦的药粉。能治愈１只宝可梦的所有异常状态。,非常苦的藥粉。能治癒１隻寶可夢的所有異常狀態。,非常苦的藥粉。能治癒１只寶可夢的所有異常狀態。
复活草,復活草,非常苦的药草。能让１只濒死的宝可梦回复所有ＨＰ。,非常苦的藥草。能讓１隻瀕死的寶可夢回復所有ＨＰ。,非常苦的藥草。能讓１只瀕死的寶可夢回復所有ＨＰ。
ＰＰ单项小补剂,ＰＰ單項小補劑,能让宝可梦学会的其中１个招式回复１０ＰＰ。,能讓寶可夢已學會的其中１個招式回復１０ＰＰ。,能讓寶可夢學會的其中１個招式回復１０ＰＰ。
ＰＰ单项全补剂,ＰＰ單項全補劑,能让宝可梦学会的其中１个招式回复所有ＰＰ。,能讓寶可夢已學會的其中１個招式回復所有ＰＰ。,能讓寶可夢學會的其中１個招式回復所有ＰＰ。
ＰＰ多项小补剂,ＰＰ多項小補劑,能让宝可梦学会的４个招式各回复１０ＰＰ。,能讓寶可夢已學會的４個招式各回復１０ＰＰ。,能讓寶可夢學會的４個招式各回復１０ＰＰ。
ＰＰ多项全补剂,ＰＰ多項全補劑,能让宝可梦学会的４个招式回复所有ＰＰ。,能讓寶可夢已學會的４個招式回復所有ＰＰ。,能讓寶可夢學會的４個招式回復所有ＰＰ。
釜炎仙贝,釜炎仙貝,釜炎特产的仙贝。能治愈１只宝可梦的所有异常状态。,釜炎特產的仙貝。能治癒１隻寶可夢的所有異常狀態。,釜炎特產的仙貝。能治癒１只寶可夢的所有異常狀態。
树果汁,樹果汁,１００％树果果汁。能让１只宝可梦回复２０ＨＰ。,１００％樹果果汁。能讓１隻寶可夢回復２０ＨＰ。,１００％樹果果汁。能讓１只寶可夢回復２０ＨＰ。
圣灰,聖灰,能让陷入濒死的全部宝可梦回复所有ＨＰ。,能讓所有陷入瀕死的寶可夢回復所有ＨＰ。,能讓陷入瀕死的全部寶可夢回復所有ＨＰ。
ＨＰ增强剂,ＨＰ增強劑,宝可梦的营养饮料。能提高１只宝可梦的ＨＰ的基础点数。,寶可夢的營養飲料。能提高１隻寶可夢的ＨＰ的基礎點數。,寶可夢的營養飲料。能提高１只寶可夢的ＨＰ的基礎點數。
攻击增强剂,攻擊增強劑,宝可梦的营养饮料。能提高１只宝可梦的攻击的基础点数。,寶可夢的營養飲料。能提高１隻寶可夢的攻擊的基礎點數。,寶可夢的營養飲料。能提高１只寶可夢的攻擊的基礎點數。
防御增强剂,防禦增強劑,宝可梦的营养饮料。能提高１只宝可梦的防御的基础点数。,寶可夢的營養飲料。能提高１隻寶可夢的防禦的基礎點數。,寶可夢的營養飲料。能提高１只寶可夢的防禦的基礎點數。
速度增强剂,速度增強劑,宝可梦的营养饮料。能提高１只宝可梦的速度的基础点数。,寶可夢的營養飲料。能提高１隻寶可夢的速度的基礎點數。,寶可夢的營養飲料。能提高１只寶可夢的速度的基礎點數。
特攻增强剂,特攻增強劑,宝可梦的营养饮料。能提高１只宝可梦的特攻的基础点数。,寶可夢的營養飲料。能提高１隻寶可夢的特攻的基礎點數。,寶可夢的營養飲料。能提高１只寶可夢的特攻的基礎點數。
神奇糖果,神奇糖果,充满能量的糖果。将它交给宝可梦后，１只宝可梦的等级仅会提高１。,充滿能量的糖果。餵給寶可夢後，能讓寶可夢的等級提高１級。,充滿能量的糖果。將它交給寶可夢後，１只寶可夢的等級僅會提高１。
ＰＰ提升剂,ＰＰ提升劑,能让宝可梦学会的其中１个招式的ＰＰ最大值少量提高。,能讓寶可夢已學會的其中１個招式的ＰＰ最大值少量提高。,能讓寶可夢學會的其中１個招式的ＰＰ最大值少量提高。
特防增强剂,特防增強劑,宝可梦的营养饮料。能提高１只宝可梦的特防的基础点数。,寶可夢的營養飲料。能提高１隻寶可夢的特防的基礎點數。,寶可夢的營養飲料。能提高１只寶可夢的特防的基礎點數。
ＰＰ极限提升剂,ＰＰ極限提升劑,能将宝可梦学会的其中１个招式的ＰＰ最大值提至最高。,能將寶可夢已學會的其中１個招式的ＰＰ最大值提至最高。,能將寶可夢學會的其中１個招式的ＰＰ最大值提至最高。
森之羊羹,森之羊羹,百代不为人知的特产。能治愈１只宝可梦的所有异常状态。,百代不為人知的特產。能治癒１隻寶可夢的所有異常狀態。,百代不為人知的特產。能治癒１只寶可夢的所有異常狀態。
能力防守,能力防守,在战斗中，５回合内不让我方能力降低的道具。,在戰鬥中，５回合內讓我方的能力不被降低的道具。,在戰鬥中，５回合內不讓我方能力降低的道具。
要害攻击,要害攻擊,击中要害的几率会大幅提高。只能使用１次。离场后，效果便会消失。,擊中要害的機率會大大提高。只能使用１次。離場後，效果便會消失。,擊中要害的機率會大幅提高。只能使用１次。離場後，效果便會消失。
力量强化,力量強化,大幅提高战斗中宝可梦攻击的道具。离场后，效果便会消失。,大大提高戰鬥中寶可夢攻擊的道具。離場後，效果便會消失。,大幅提高戰鬥中寶可夢攻擊的道具。離場後，效果便會消失。
防御强化,防禦強化,大幅提高战斗中宝可梦防御的道具。离场后，效果便会消失。,大大提高戰鬥中寶可夢防禦的道具。離場後，效果便會消失。,大幅提高戰鬥中寶可夢防禦的道具。離場後，效果便會消失。
速度强化,速度強化,大幅提高战斗中宝可梦速度的道具。离场后，效果便会消失。,大大提高戰鬥中寶可夢速度的道具。離場後，效果便會消失。,大幅提高戰鬥中寶可夢速度的道具。離場後，效果便會消失。
命中强化,命中強化,大幅提高战斗中宝可梦命中的道具。离场后，效果便会消失。,大大提高戰鬥中寶可夢命中的道具。離場後，效果便會消失。,大幅提高戰鬥中寶可夢命中的道具。離場後，效果便會消失。
特攻强化,特攻強化,大幅提高战斗中宝可梦特攻的道具。离场后，效果便会消失。,大大提高戰鬥中寶可夢特攻的道具。離場後，效果便會消失。,大幅提高戰鬥中寶可夢特攻的道具。離場後，效果便會消失。
特防强化,特防強化,大幅提高战斗中宝可梦特防的道具。离场后，效果便会消失。,大大提高戰鬥中寶可夢特防的道具。離場後，效果便會消失。,大幅提高戰鬥中寶可夢特防的道具。離場後，效果便會消失。
皮皮玩偶,皮皮玩偶,能吸引宝可梦注意的道具。在和野生宝可梦的战斗中绝对可以逃走。,能吸引寶可夢注意的道具。在和野生寶可夢的戰鬥中絕對可以逃走。,能吸引寶可夢注意的道具。在和野生寶可夢的戰鬥中絕對可以逃走。
向尾喵的尾巴,向尾喵的尾巴,能吸引宝可梦注意的道具。在和野生宝可梦的战斗中绝对可以逃走。,能吸引寶可夢注意的道具。在和野生寶可夢的戰鬥中絕對可以逃走。,能吸引寶可夢注意的道具。在和野生寶可夢的戰鬥中絕對可以逃走。
蓝色玻璃哨,藍色玻璃哨,以蓝色玻璃制成的哨子。可以治愈睡眠状态。,以藍色玻璃製成的笛子。可以治癒睡眠狀態。,以藍色玻璃製成的哨子。可以治癒睡眠狀態。
黄色玻璃哨,黃色玻璃哨,以黄色玻璃制成的哨子。可以治愈混乱状态。,以黃色玻璃製成的笛子。可以治癒混亂狀態。,以黃色玻璃製成的哨子。可以治癒混亂狀態。
红色玻璃哨,紅色玻璃哨,以红色玻璃制成的哨子。可以治愈着迷状态。,以紅色玻璃製成的笛子。可以治癒著迷狀態。,以紅色玻璃製成的哨子。可以治癒著迷狀態。
黑色玻璃哨,黑色玻璃哨,以黑色玻璃制成的哨子。在使用的地方更容易遇到强大的宝可梦。,以黑色玻璃製成的笛子。在使用的地方更容易遇到強大的寶可夢。,以黑色玻璃製成的哨子。在使用的地方更容易遇到強大的寶可夢。
白色玻璃哨,白色玻璃哨,以白色玻璃制成的哨子。在使用的地方更容易遇到弱小的宝可梦。,以白色玻璃製成的笛子。在使用的地方更容易遇到弱小的寶可夢。,以白色玻璃製成的哨子。在使用的地方更容易遇到弱小的寶可夢。
浅滩海盐,淺灘海鹽,在浅滩洞穴这地方找到的海盐。,在名為淺灘洞穴的地方找到的海鹽。,在淺灘洞穴這地方找到的海鹽。
浅滩贝壳,淺灘貝殼,在浅滩洞穴这地方找到的贝壳。,在名為淺灘洞穴的地方找到的貝殼。,在淺灘洞穴這地方找到的貝殼。
红色碎片,紅色碎片,红色的小碎片。好像是以前制作的某道具的一部分。,紅色的小碎片。好像是以前製作的某道具的一部分。,紅色的小碎片。好像是以前製作的某道具的一部分。
蓝色碎片,藍色碎片,蓝色的小碎片。好像是以前制作的某道具的一部分。,藍色的小碎片。好像是以前製作的某道具的一部分。,藍色的小碎片。好像是以前製作的某道具的一部分。
黄色碎片,黃色碎片,黄色的小碎片。好像是以前制作的某道具的一部分。,黃色的小碎片。好像是以前製作的某道具的一部分。,黃色的小碎片。好像是以前製作的某道具的一部分。
绿色碎片,綠色碎片,绿色的小碎片。好像是以前制作的某道具的一部分。,綠色的小碎片。好像是以前製作的某道具的一部分。,綠色的小碎片。好像是以前製作的某道具的一部分。
白银喷雾,白銀噴霧,弱小的野生宝可梦将完全不会出现。效果比除虫喷雾更持久。,弱小的野生寶可夢變得完全不會出現。效果比除蟲噴霧更持久。,弱小的野生寶可夢將完全不會出現。效果比除蟲噴霧更持久。
黄金喷雾,黃金噴霧,弱小的野生宝可梦将完全不会出现。效果比白银喷雾更持久。,弱小的野生寶可夢變得完全不會出現。效果比白銀噴霧更持久。,弱小的野生寶可夢將完全不會出現。效果比白銀噴霧更持久。
离洞绳,離洞繩,结实的长绳。可以从洞窟或迷宫中脱身。,結實的長繩。可以從洞窟或迷宮中脫身。,結實的長繩。可以從洞窟或迷宮中脫身。
除虫喷雾,除蟲噴霧,使用后，在较短的一段时间内，弱小的野生宝可梦将完全不会出现。,使用後的短暫期間，弱小的野生寶可夢變得完全不會出現。,使用後，在較短的一段時間內，弱小的野生寶可夢將完全不會出現。
日之石,日之石,能让某些特定宝可梦进化的神奇石头。像太阳一样赤红。,能讓特定寶可夢進化的神奇石頭。像太陽一樣赤紅。,能讓某些特定寶可夢進化的神奇石頭。像太陽一樣赤紅。
月之石,月之石,能让某些特定宝可梦进化的神奇石头。像夜空一样乌黑。,能讓特定寶可夢進化的神奇石頭。像夜空一樣深黑。,能讓某些特定寶可夢進化的神奇石頭。像夜空一樣烏黑。
火之石,火之石,能让某些特定宝可梦进化的神奇石头。看上去是橙黄色的。,能讓特定寶可夢進化的神奇石頭。看起來是橙黃色的。,能讓某些特定寶可夢進化的神奇石頭。看上去是橙黃色的。
雷之石,雷之石,能让某些特定宝可梦进化的神奇石头。有着闪电般的花纹。,能讓特定寶可夢進化的神奇石頭。上面有著閃電花紋。,能讓某些特定寶可夢進化的神奇石頭。有著閃電般的花紋。
水之石,水之石,能让某些特定宝可梦进化的神奇石头。看上去是澄蓝色的。,能讓特定寶可夢進化的神奇石頭。看起來是澄澈的藍色。,能讓某些特定寶可夢進化的神奇石頭。看上去是澄藍色的。
叶之石,葉之石,能让某些特定宝可梦进化的神奇石头。有着叶子般的花纹。,能讓特定寶可夢進化的神奇石頭。上面有著葉子花紋。,能讓某些特定寶可夢進化的神奇石頭。有著葉子般的花紋。
小蘑菇,小蘑菇,珍稀的小蘑菇。在一些爱好者中有着相当高的人气。,稀奇的小蘑菇。在部分愛好者間頗受歡迎。,珍稀的小蘑菇。在一些愛好者中有著相當高的人氣。
大蘑菇,大蘑菇,珍稀的大蘑菇。在一些爱好者中有着非常高的人气。,稀奇的大蘑菇。在部分愛好者中非常受歡迎。,珍稀的大蘑菇。在一些愛好者中有著非常高的人氣。
珍珠,珍珠,散发着美丽银辉且有点小的珍珠。可以在商店低价出售。,散發著美麗銀輝的有點小的珍珠。可以在商店低價出售。,散發著美麗銀輝且有點小的珍珠。可以在商店低價出售。
大珍珠,大珍珠,散发着美丽银辉且相当大颗的珍珠。可以在商店高价出售。,散發著美麗銀輝的頗大顆的珍珠。可以在商店高價出售。,散發著美麗銀輝且相當大顆的珍珠。可以在商店高價出售。
星星沙子,星星沙子,手感细腻且十分美丽的红色沙子。可以在商店低价出售。,手感細緻且十分美麗的紅色沙子。可以在商店低價出售。,手感細膩且十分美麗的紅色沙子。可以在商店低價出售。
星星碎片,星星碎片,闪着红光且十分美丽的宝石碎片。可以在商店高价出售。,閃著紅光且十分美麗的寶石碎片。可以在商店高價出售。,閃著紅光且十分美麗的寶石碎片。可以在商店高價出售。
金珠,金珠,闪着金光，以纯金制成的珠子。可以在商店高价出售。,閃著金光的純金製珠子。可以在商店高價出售。,閃著金光，以純金製成的珠子。可以在商店高價出售。
心之鳞片,心之鱗片,有着美丽心形外形且非常珍稀的鳞片。有些人收到会很高兴。,有著美麗心形外形且非常稀奇的鱗片。有些人收到會很高興。,有著美麗心形外形且非常珍稀的鱗片。有些人收到會很高興。
甜甜蜜,甜甜蜜,在草丛或洞窟等地方使用后，被甜甜香气吸引的野生宝可梦就会出现。,在草叢或洞窟等地方使用後，被甜甜香氣引誘的野生寶可夢就會出現。,在草叢或洞窟等地方使用後，被甜甜香氣吸引的野生寶可夢就會出現。
速速肥,速速肥,培育树果时的肥料。但完全不适合丰缘地区的土壤，所以没什么效果。,培育樹果時的肥料。但完全不適合豐緣地區的土壤，所以沒什麼效果。,培育樹果時的肥料。但完全不適合豐緣地區的土壤，所以沒什麼效果。
湿湿肥,濕濕肥,培育树果时的肥料。但完全不适合丰缘地区的土壤，所以没什么效果。,培育樹果時的肥料。但完全不適合豐緣地區的土壤，所以沒什麼效果。,培育樹果時的肥料。但完全不適合豐緣地區的土壤，所以沒什麼效果。
久久肥,久久肥,培育树果时的肥料。但完全不适合丰缘地区的土壤，所以没什么效果。,培育樹果時的肥料。但完全不適合豐緣地區的土壤，所以沒什麼效果。,培育樹果時的肥料。但完全不適合豐緣地區的土壤，所以沒什麼效果。
粘粘肥,黏黏肥,培育树果时的肥料。但完全不适合丰缘地区的土壤，所以没什么效果。,培育樹果時的肥料。但完全不適合豐緣地區的土壤，所以沒什麼效果。,培育樹果時的肥料。但完全不適合豐緣地區的土壤，所以沒什麼效果。
根状化石,根狀化石,很久以前栖息在海里的古代宝可梦的化石。好像是根的一部分。,很久以前棲息在海裡的古代寶可夢的化石。好像是根的一部分。,很久以前棲息在海裡的古代寶可夢的化石。好像是根的一部分。
爪子化石,爪子化石,很久以前栖息在海里的古代宝可梦的化石。好像是爪子的一部分。,很久以前棲息在海裡的古代寶可夢的化石。好像是爪子的一部分。,很久以前棲息在海裡的古代寶可夢的化石。好像是爪子的一部分。
贝壳化石,貝殼化石,很久以前栖息在海里的古代宝可梦的化石。好像是贝壳的一部分。,很久以前棲息在海裡的古代寶可夢的化石。好像是貝殼的一部分。,很久以前棲息在海裡的古代寶可夢的化石。好像是貝殼的一部分。
甲壳化石,甲殼化石,很久以前栖息在海里的古代宝可梦的化石。好像是甲壳的一部分。,很久以前棲息在海裡的古代寶可夢的化石。好像是甲殼的一部分。,很久以前棲息在海裡的古代寶可夢的化石。好像是甲殼的一部分。
秘密琥珀,秘密琥珀,封存着古代宝可梦遗传基因的琥珀，透着点红色。,封存著古代寶可夢遺傳基因的琥珀，透著點紅色。,封存著古代寶可夢遺傳基因的琥珀，透著點紅色。
盾甲化石,盾甲化石,很久以前生活在地上的古代宝可梦的化石。好像是领饰的一部分。,很久以前生活在地上的古代寶可夢的化石。好像是領飾的一部分。,很久以前生活在地上的古代寶可夢的化石。好像是領飾的一部分。
头盖化石,頭蓋化石,很久以前生活在地上的古代宝可梦的化石。好像是头部的一部分。,很久以前生活在地上的古代寶可夢的化石。好像是頭部的一部分。,很久以前生活在地上的古代寶可夢的化石。好像是頭部的一部分。
贵重骨头,貴重骨頭,在宝可梦考古学上非常贵重的骨头。可以在商店高价出售。,在寶可夢考古學上非常貴重的骨頭。可以在商店高價出售。,在寶可夢考古學上非常貴重的骨頭。可以在商店高價出售。
光之石,光之石,能让某些特定宝可梦进化的神奇石头。像光芒一样耀眼。,能讓特定寶可夢進化的神奇石頭。像光芒一樣耀眼。,能讓某些特定寶可夢進化的神奇石頭。像光芒一樣耀眼。
暗之石,暗之石,能让某些特定宝可梦进化的神奇石头。像黑夜一般漆黑。,能讓特定寶可夢進化的神奇石頭。像黑暗一般漆黑。,能讓某些特定寶可夢進化的神奇石頭。像黑夜一般漆黑。
觉醒之石,覺醒之石,能让某些特定宝可梦进化的神奇石头。像眼眸一般光彩动人。,能讓特定寶可夢進化的神奇石頭。像眼眸一般光彩動人。,能讓某些特定寶可夢進化的神奇石頭。像眼眸一般光彩動人。
浑圆之石,渾圓之石,能让某些特定宝可梦进化的神奇石头。像珠子一般圆润。,能讓特定寶可夢進化的神奇石頭。像珠子一般圓潤。,能讓某些特定寶可夢進化的神奇石頭。像珠子一般圓潤。
楔石,楔石,没有它，石之塔就会崩塌的重要石头。有时能从石头里听到声音。,沒有它，石之塔就會崩塌的重要石頭。有時能從石頭裡聽到聲音。,沒有它，石之塔就會崩塌的重要石頭。有時能從石頭裡聽到聲音。
