大师球,大師球,必定能捉到野生宝可梦的，性能最好的球。,性能最好的球。必定能捉到野生寶可夢。,必定能捉到野生寶可夢的，性能最好的球。
洁净之符,潔淨之符,让排在最前面的宝可梦携带后，野生宝可梦就会不容易出现。,讓排在最前面的寶可夢攜帶後，野生寶可夢會變得不容易出現。,讓排在最前面的寶可夢攜帶後，野生寶可夢就會不容易出現。
心之水滴,心之水滴,让拉帝欧斯或拉帝亚斯携带后，超能力和龙属性的招式威力就会提高的神奇珠子。,讓拉帝歐斯或拉帝亞斯攜帶後，超能力和龍屬性的招式威力就會提高的神奇珠子。,讓拉帝歐斯或拉帝亞斯攜帶後，超能力和龍屬性的招式威力就會提高的神奇珠子。
深海之牙,深海之牙,让珍珠贝携带后，特攻就会提高的牙齿。散发着闪亮的银光。,讓珍珠貝攜帶後，特攻就會提高的牙齒。散發著銳利的銀色光芒。,讓珍珠貝攜帶後，特攻就會提高的牙齒。散發著閃亮的銀光。
深海鳞片,深海鱗片,让珍珠贝携带后，特防就会提高的鳞片。散发着淡淡的粉红色光芒。,讓珍珠貝攜帶後，特防就會提高的鱗片。散發著淡淡的粉紅色光芒。,讓珍珠貝攜帶後，特防就會提高的鱗片。散發著淡淡的粉紅色光芒。
烟雾球,煙霧球,携带它的宝可梦在和野生宝可梦的战斗中绝对可以逃走。,攜帶它的寶可夢在和野生寶可夢的戰鬥中絕對可以逃走。,攜帶它的寶可夢在和野生寶可夢的戰鬥中絕對可以逃走。
不变之石,不變之石,携带后，宝可梦在此期间不会进化的神奇石头。,攜帶後，寶可夢在此期間不會進化的神奇石頭。,攜帶後，寶可夢在此期間不會進化的神奇石頭。
气势头带,氣勢頭帶,携带后，即便受到可能会导致濒死的招式，有时也能仅以１ＨＰ撑过去。,攜帶後，即便受到可能會導致瀕死的招式，有時也能僅以１ＨＰ撐過去。,攜帶後，即便受到可能會導致瀕死的招式，有時也能僅以１ＨＰ撐過去。
幸运蛋,幸運蛋,满载着幸福的蛋。携带它的宝可梦获得的经验值会少量增加。,滿載著幸福的蛋。攜帶它的寶可夢獲得的經驗值會少量增加。,滿載著幸福的蛋。攜帶它的寶可夢獲得的經驗值會少量增加。
焦点镜,焦點鏡,能看见弱点的镜片。携带它的宝可梦的招式会变得容易击中要害。,能看見弱點的鏡片。攜帶它的寶可夢的招式會變得容易擊中要害。,能看見弱點的鏡片。攜帶它的寶可夢的招式會變得容易擊中要害。
金属膜,金屬膜,特殊的金属膜。携带后，钢属性的招式威力就会提高。,特殊的金屬膜。攜帶後，鋼屬性的招式威力就會提高。,特殊的金屬膜。攜帶後，鋼屬性的招式威力就會提高。
吃剩的东西,吃剩的東西,携带后，宝可梦的ＨＰ会在战斗期间缓缓回复。,攜帶後，寶可夢的ＨＰ會在戰鬥期間緩緩回復。,攜帶後，寶可夢的ＨＰ會在戰鬥期間緩緩回復。
龙之鳞片,龍之鱗片,又硬又坚固的鳞片。龙属性宝可梦有时会携带它。,又硬又結實的鱗片。有時龍屬性寶可夢會攜帶著它。,又硬又堅固的鱗片。龍屬性寶可夢有時會攜帶它。
电气球,電氣球,让皮卡丘携带后，攻击和特攻的威力就会提高的神奇之球。,讓皮卡丘攜帶後，攻擊和特攻的威力就會提高的神奇之球。,讓皮卡丘攜帶後，攻擊和特攻的威力就會提高的神奇之球。
柔软沙子,柔軟沙子,手感细腻的沙子。携带后，地面属性的招式威力就会提高。,手感細緻的沙子。攜帶後，地面屬性的招式威力就會提高。,手感細膩的沙子。攜帶後，地面屬性的招式威力就會提高。
硬石头,硬石頭,绝对不会裂开的石头。携带后，岩石属性的招式威力就会提高。,絕對不會裂開的石頭。攜帶後，岩石屬性的招式威力就會提高。,絕對不會裂開的石頭。攜帶後，岩石屬性的招式威力就會提高。
奇迹种子,奇跡種子,孕育生命的种子。携带后，草属性的招式威力就会提高。,蘊藏生命的種子。攜帶後，草屬性的招式威力就會提高。,孕育生命的種子。攜帶後，草屬性的招式威力就會提高。
黑色眼镜,黑色眼鏡,看上去很奇怪的眼镜。携带后，恶属性的招式威力就会提高。,看起來很奇怪的眼鏡。攜帶後，惡屬性的招式威力就會提高。,看上去很奇怪的眼鏡。攜帶後，惡屬性的招式威力就會提高。
黑带,黑帶,能振作精神的带子。携带后，格斗属性的招式威力就会提高。,能振作精神的帶子。攜帶後，格鬥屬性的招式威力就會提高。,能振作精神的帶子。攜帶後，格鬥屬性的招式威力就會提高。
磁铁,磁鐵,强力的磁铁。携带后，电属性的招式威力就会提高。,強力的磁鐵。攜帶後，電屬性的招式威力就會提高。,強力的磁鐵。攜帶後，電屬性的招式威力就會提高。
神秘水滴,神秘水滴,水滴形状的宝石。携带后，水属性的招式威力就会提高。,水滴形狀的寶石。攜帶後，水屬性的招式威力就會提高。,水滴形狀的寶石。攜帶後，水屬性的招式威力就會提高。
锐利鸟嘴,銳利鳥嘴,又长又尖的鸟嘴。携带后，飞行属性的招式威力就会提高。,又長又尖的鳥嘴。攜帶後，飛行屬性的招式威力就會提高。,又長又尖的鳥嘴。攜帶後，飛行屬性的招式威力就會提高。
毒针,毒針,有毒的小针。携带后，毒属性的招式威力就会提高。,有毒的小針。攜帶後，毒屬性的招式威力就會提高。,有毒的小針。攜帶後，毒屬性的招式威力就會提高。
不融冰,不融冰,能隔绝热量的冰。携带后，冰属性的招式威力就会提高。,隔絕熱的冰。攜帶後，冰屬性的招式威力就會提高。,能隔絕熱量的冰。攜帶後，冰屬性的招式威力就會提高。
诅咒之符,詛咒之符,古怪可怕的咒符。携带后，幽灵属性的招式威力就会提高。,古怪可怕的咒符。攜帶後，幽靈屬性的招式威力就會提高。,古怪可怕的咒符。攜帶後，幽靈屬性的招式威力就會提高。
弯曲的汤匙,彎曲的湯匙,注入了念力的汤匙。携带后，超能力属性的招式威力就会提高。,注入了念力的湯匙。攜帶後，超能力屬性的招式威力就會提高。,注入了念力的湯匙。攜帶後，超能力屬性的招式威力就會提高。
木炭,木炭,焚烧用的燃料。携带后，火属性的招式威力就会提高。,燒東西的燃料。攜帶後，火屬性的招式威力就會提高。,焚燒用的燃料。攜帶後，火屬性的招式威力就會提高。
龙之牙,龍之牙,坚硬锐利的牙齿。携带后，龙属性的招式威力就会提高。,堅硬銳利的牙齒。攜帶後，龍屬性的招式威力就會提高。,堅硬銳利的牙齒。攜帶後，龍屬性的招式威力就會提高。
丝绸围巾,絲綢圍巾,手感不错的围巾。携带后，一般属性的招式威力就会提高。,手感不錯的圍巾。攜帶後，一般屬性的招式威力就會提高。,手感不錯的圍巾。攜帶後，一般屬性的招式威力就會提高。
升级数据,升級資料,内部储存了各种信息的透明机器。西尔佛公司制造。,內部儲存了各種資訊的透明機器。西爾佛公司製造。,內部儲存了各種資訊的透明機器。西爾佛公司製造。
贝壳之铃,貝殼之鈴,当携带它的宝可梦攻击对手并造成伤害时，能回复少量ＨＰ。,當攜帶它的寶可夢攻擊並造成對手傷害時，能回復少量ＨＰ。,當攜帶它的寶可夢攻擊對手並造成傷害時，能回復少量ＨＰ。
海潮薰香,海潮薰香,有着神奇香气的薰香。携带后，水属性的招式威力就会提高。,有著神奇香氣的薰香。攜帶後，水屬性的招式威力就會提高。,有著神奇香氣的薰香。攜帶後，水屬性的招式威力就會提高。
悠闲薰香,悠閒薰香,携带后，薰香的神奇香气会迷惑对手，其招式会变得不容易命中。,攜帶後，薰香的神奇香氣會迷惑對手，其招式會變得不容易命中。,攜帶後，薰香的神奇香氣會迷惑對手，其招式會變得不容易命中。
吉利拳,吉利拳,能带来幸运的拳套。让吉利蛋携带后，招式会变得容易击中要害。,能帶來幸運的拳套。讓吉利蛋攜帶後，招式會變得容易擊中要害。,能帶來幸運的拳套。讓吉利蛋攜帶後，招式會變得容易擊中要害。
金属粉,金屬粉,让百变怪携带后，防御就会提高的神奇粉末。非常细腻坚硬。,讓百變怪攜帶後，防禦就會提高的神奇粉末。非常細緻堅硬。,讓百變怪攜帶後，防禦就會提高的神奇粉末。非常細膩堅硬。
粗骨头,粗骨頭,某种坚硬的骨头。让卡拉卡拉或嘎啦嘎啦携带后，攻击就会提高。,某種堅硬的骨頭。讓卡拉卡拉或嘎啦嘎啦攜帶後，攻擊就會提高。,某種堅硬的骨頭。讓卡拉卡拉或嘎啦嘎啦攜帶後，攻擊就會提高。
大葱,大蔥,非常长且坚硬的茎。让大葱鸭携带后，招式会变得容易击中要害。,非常長且堅硬的莖。讓大蔥鴨攜帶後，招式會變得容易擊中要害。,非常長且堅硬的莖。讓大蔥鴨攜帶後，招式會變得容易擊中要害。
红色头巾,紅色頭巾,携带它去参加华丽大赛的宝可梦会比平时看上去更加帅气。,攜帶它去參加華麗大賽的寶可夢會比平時看起來更加帥氣。,攜帶它去參加華麗大賽的寶可夢會比平時看上去更加帥氣。
蓝色头巾,藍色頭巾,携带它去参加华丽大赛的宝可梦会比平时看上去更加美丽。,攜帶它去參加華麗大賽的寶可夢會比平時看起來更加美麗。,攜帶它去參加華麗大賽的寶可夢會比平時看上去更加美麗。
粉红头巾,粉紅頭巾,携带它去参加华丽大赛的宝可梦会比平时看上去更加可爱。,攜帶它去參加華麗大賽的寶可夢會比平時看起來更加可愛。,攜帶它去參加華麗大賽的寶可夢會比平時看上去更加可愛。
绿色头巾,綠色頭巾,携带它去参加华丽大赛的宝可梦会比平时看上去更加聪明。,攜帶它去參加華麗大賽的寶可夢會比平時看起來更加聰明。,攜帶它去參加華麗大賽的寶可夢會比平時看上去更加聰明。
黄色头巾,黃色頭巾,携带它去参加华丽大赛的宝可梦会比平时看上去更加强壮。,攜帶它去參加華麗大賽的寶可夢會比平時看起來更加強壯。,攜帶它去參加華麗大賽的寶可夢會比平時看上去更加強壯。
广角镜,廣角鏡,能放大观看物体的镜片。携带后，招式的命中率就会少量提高。,物體看起來會變大的鏡片。攜帶後，招式的命中率就會少量提高。,能放大觀看物體的鏡片。攜帶後，招式的命中率就會少量提高。
力量头带,力量頭帶,力如泉涌的头带。携带后，物理招式的威力就会少量提高。,力如泉湧的頭帶。攜帶後，物理招式的威力就會少量提高。,力如泉涌的頭帶。攜帶後，物理招式的威力就會少量提高。
博识眼镜,博識眼鏡,装着很厚镜片的眼镜。携带后，特殊招式的威力就会少量提高。,裝著很厚鏡片的眼鏡。攜帶後，特殊招式的威力就會少量提高。,裝著很厚鏡片的眼鏡。攜帶後，特殊招式的威力就會少量提高。
达人带,達人帶,用惯了的黑色带子。携带后，效果绝佳时的招式威力就会少量提高。,用慣了的黑色帶子。攜帶後，效果絕佳時的招式威力就會少量提高。,用慣了的黑色帶子。攜帶後，效果絕佳時的招式威力就會少量提高。
光之黏土,光之黏土,当携带它的宝可梦使出光墙或反射壁时，效果会比平时持续得更长。,當攜帶它的寶可夢使出光牆或反射壁時，效果會比平時持續得更久。,當攜帶它的寶可夢使出光牆或反射壁時，效果會比平時持續得更長。
生命宝珠,生命寶珠,携带后，虽然每次攻击时ＨＰ少量减少，但招式的威力会提高。,攜帶後，雖然每次攻擊時ＨＰ會少量減少，但招式的威力會提高。,攜帶後，雖然每次攻擊時ＨＰ少量減少，但招式的威力會提高。
强力香草,強力香草,携带它的宝可梦仅有１次机会可以在第１回合使出需要蓄力的招式。,攜帶它的寶可夢將有１次機會，可以在１回合內就發動需要蓄力的招式。,攜帶它的寶可夢僅有１次機會可以在第１回合使出需要蓄力的招式。
剧毒宝珠,劇毒寶珠,触碰后会放出毒的神奇宝珠。携带后，在战斗时会变成剧毒状态。,觸碰後會放出毒的神奇寶珠。攜帶後，在戰鬥時會變成劇毒狀態。,觸碰後會放出毒的神奇寶珠。攜帶後，在戰鬥時會變成劇毒狀態。
火焰宝珠,火焰寶珠,触碰后会放出热量的神奇宝珠。携带后，在战斗时会变成灼伤状态。,觸碰後會放出熱量的神奇寶珠。攜帶後，在戰鬥時會變成灼傷狀態。,觸碰後會放出熱量的神奇寶珠。攜帶後，在戰鬥時會變成灼傷狀態。
速度粉,速度粉,让百变怪携带后，速度就会提高的神奇粉末。非常细腻坚硬。,讓百變怪攜帶後，速度就會提高的神奇粉末。非常細緻堅硬。,讓百變怪攜帶後，速度就會提高的神奇粉末。非常細膩堅硬。
气势披带,氣勢披帶,携带后，在ＨＰ全满时，即便受到可能会导致濒死的招式，也能仅以１ＨＰ撑过去１次。,攜帶後，在ＨＰ全滿時，即使受到可能導致瀕死的招式攻擊，也能以１ＨＰ僅撐過１次。,攜帶後，在ＨＰ全滿時，即便受到可能會導致瀕死的招式，也能僅以１ＨＰ撐過去１次。
对焦镜,對焦鏡,当携带它的宝可梦比对手行动迟缓时，招式会变得容易命中。,當攜帶它的寶可夢比對手行動緩慢時，招式會變得容易命中。,當攜帶它的寶可夢比對手行動遲緩時，招式會變得容易命中。
节拍器,節拍器,携带后，连续使出相同招式时，威力就会提高。不再使出相同招式时，威力就会复原。,攜帶後，連續使出相同招式時，威力就會提高。停止時，威力就會復原。,攜帶後，連續使出相同招式時，威力就會提高。不再使出相同招式時，威力就會復原。
黑色铁球,黑色鐵球,携带后，速度会降低。飞行属性以及飘浮宝可梦会被地面招式击中。,攜帶後，速度會降低。飛行屬性以及飄浮寶可夢會被地面招式擊中。,攜帶後，速度會降低。飛行屬性以及飄浮寶可夢會被地面招式擊中。
后攻之尾,後攻之尾,非常沉重的某种尾巴。携带后，行动会比平时更加迟缓。,非常沉重的某種尾巴。攜帶後，行動會比平時更加緩慢。,非常沉重的某種尾巴。攜帶後，行動會比平時更加遲緩。
红线,紅線,长长的鲜红色细线。携带后，在自己着迷时能让对手也着迷。,長長的大紅色細線。攜帶後，陷入著迷狀態時，也能使對手陷入著迷狀態。,長長的鮮紅色細線。攜帶後，在自己著迷時能讓對手也著迷。
黑色污泥,黑色污泥,携带后，毒属性的宝可梦会缓缓回复ＨＰ。其他属性的话，ＨＰ则会减少。,攜帶後，毒屬性的寶可夢會緩緩回復ＨＰ。其他屬性的話，ＨＰ則會減少。,攜帶後，毒屬性的寶可夢會緩緩回復ＨＰ。其他屬性的話，ＨＰ則會減少。
冰冷岩石,冰冷岩石,携带它的宝可梦使出冰雹的话，冰雹的时间就会比平时更长。,攜帶它的寶可夢使出冰雹的話，冰雹的時間就會比平時更長。,攜帶它的寶可夢使出冰雹的話，冰雹的時間就會比平時更長。
沙沙岩石,沙沙岩石,携带它的宝可梦使出沙暴的话，沙暴的时间就会比平时更长。,攜帶它的寶可夢使出沙暴的話，沙暴的時間就會比平時更長。,攜帶它的寶可夢使出沙暴的話，沙暴的時間就會比平時更長。
炽热岩石,熾熱岩石,携带它的宝可梦使出大晴天的话，晴天的时间就会比平时更长。,攜帶它的寶可夢使出大晴天的話，晴天的時間就會比平時更長。,攜帶它的寶可夢使出大晴天的話，晴天的時間就會比平時更長。
潮湿岩石,潮濕岩石,携带它的宝可梦使出求雨的话，下雨的时间就会比平时更长。,攜帶它的寶可夢使出求雨的話，下雨的時間就會比平時更長。,攜帶它的寶可夢使出求雨的話，下雨的時間就會比平時更長。
紧缠钩爪,緊纏鉤爪,携带后，绑紧以及紧束等会持续造成伤害的招式的回合数会增加。,攜帶後，綁緊以及緊束等會持續造成傷害的招式的回合數會增加。,攜帶後，綁緊以及緊束等會持續造成傷害的招式的回合數會增加。
讲究围巾,講究圍巾,有点讲究的围巾。虽然携带后速度会提高，但只能使出相同的招式。,有點講究的圍巾。雖然攜帶後速度會提高，但只能使出相同的招式。,有點講究的圍巾。雖然攜帶後速度會提高，但只能使出相同的招式。
附着针,附著針,携带后，每回合都会受到伤害。有时也会附着到碰到自己的对手身上。,攜帶後，每回合都會受到傷害。有時也會附著到碰到自己的對手身上。,攜帶後，每回合都會受到傷害。有時也會附著到碰到自己的對手身上。
力量护腕,力量護腕,虽然携带后速度会降低，但宝可梦的攻击会比平时成长得更高。,雖然攜帶後速度會降低，但寶可夢的攻擊會比平時培育得更高。,雖然攜帶後速度會降低，但寶可夢的攻擊會比平時成長得更高。
力量腰带,力量腰帶,虽然携带后速度会降低，但宝可梦的防御会比平时成长得更高。,雖然攜帶後速度會降低，但寶可夢的防禦會比平時培育得更高。,雖然攜帶後速度會降低，但寶可夢的防禦會比平時成長得更高。
力量镜,力量鏡,虽然携带后速度会降低，但宝可梦的特攻会比平时成长得更高。,雖然攜帶後速度會降低，但寶可夢的特攻會比平時培育得更高。,雖然攜帶後速度會降低，但寶可夢的特攻會比平時成長得更高。
力量束带,力量束帶,虽然携带后速度会降低，但宝可梦的特防会比平时成长得更高。,雖然攜帶後速度會降低，但寶可夢的特防會比平時培育得更高。,雖然攜帶後速度會降低，但寶可夢的特防會比平時成長得更高。
力量护踝,力量護踝,虽然携带后速度会降低，但宝可梦的速度会比平时成长得更高。,雖然攜帶後速度會降低，但寶可夢的速度會比平時培育得更高。,雖然攜帶後速度會降低，但寶可夢的速度會比平時成長得更高。
力量负重,力量負重,虽然携带后速度会降低，但宝可梦的ＨＰ会比平时成长得更高。,雖然攜帶後速度會降低，但寶可夢的ＨＰ會比平時培育得更高。,雖然攜帶後速度會降低，但寶可夢的ＨＰ會比平時成長得更高。
美丽空壳,美麗空殼,结实坚硬的空壳。携带它的宝可梦必定可以和后备的宝可梦进行替换。,結實堅硬的空殼。攜帶它的寶可夢必定可以和後備的寶可夢進行替換。,結實堅硬的空殼。攜帶它的寶可夢必定可以和後備的寶可夢進行替換。
大根茎,大根莖,携带后，吸取ＨＰ的招式可以比平时更多地回复自己的ＨＰ。,攜帶後，吸取ＨＰ的招式可以比平時回復更多自己的ＨＰ。,攜帶後，吸取ＨＰ的招式可以比平時更多地回復自己的ＨＰ。
讲究眼镜,講究眼鏡,有点讲究的眼镜。虽然携带后特攻会提高，但只能使出相同的招式。,有點講究的眼鏡。雖然攜帶後特攻會提高，但只能使出相同的招式。,有點講究的眼鏡。雖然攜帶後特攻會提高，但只能使出相同的招式。
火球石板,火球石板,火属性的石板。携带后，火属性的招式威力就会增强。,火屬性的石板。攜帶後，火屬性的招式威力就會增強。,火屬性的石板。攜帶後，火屬性的招式威力就會增強。
水滴石板,水滴石板,水属性的石板。携带后，水属性的招式威力就会增强。,水屬性的石板。攜帶後，水屬性的招式威力就會增強。,水屬性的石板。攜帶後，水屬性的招式威力就會增強。
雷电石板,雷電石板,电属性的石板。携带后，电属性的招式威力就会增强。,電屬性的石板。攜帶後，電屬性的招式威力就會增強。,電屬性的石板。攜帶後，電屬性的招式威力就會增強。
碧绿石板,碧綠石板,草属性的石板。携带后，草属性的招式威力就会增强。,草屬性的石板。攜帶後，草屬性的招式威力就會增強。,草屬性的石板。攜帶後，草屬性的招式威力就會增強。
冰柱石板,冰柱石板,冰属性的石板。携带后，冰属性的招式威力就会增强。,冰屬性的石板。攜帶後，冰屬性的招式威力就會增強。,冰屬性的石板。攜帶後，冰屬性的招式威力就會增強。
拳头石板,拳頭石板,格斗属性的石板。携带后，格斗属性的招式威力就会增强。,格鬥屬性的石板。攜帶後，格鬥屬性的招式威力就會增強。,格鬥屬性的石板。攜帶後，格鬥屬性的招式威力就會增強。
剧毒石板,劇毒石板,毒属性的石板。携带后，毒属性的招式威力就会增强。,毒屬性的石板。攜帶後，毒屬性的招式威力就會增強。,毒屬性的石板。攜帶後，毒屬性的招式威力就會增強。
大地石板,大地石板,地面属性的石板。携带后，地面属性的招式威力就会增强。,地面屬性的石板。攜帶後，地面屬性的招式威力就會增強。,地面屬性的石板。攜帶後，地面屬性的招式威力就會增強。
蓝天石板,藍天石板,飞行属性的石板。携带后，飞行属性的招式威力就会增强。,飛行屬性的石板。攜帶後，飛行屬性的招式威力就會增強。,飛行屬性的石板。攜帶後，飛行屬性的招式威力就會增強。
神奇石板,神奇石板,超能力属性的石板。携带后，超能力属性的招式威力就会增强。,超能力屬性的石板。攜帶後，超能力屬性的招式威力就會增強。,超能力屬性的石板。攜帶後，超能力屬性的招式威力就會增強。
玉虫石板,玉蟲石板,虫属性的石板。携带后，虫属性的招式威力就会增强。,蟲屬性的石板。攜帶後，蟲屬性的招式威力就會增強。,蟲屬性的石板。攜帶後，蟲屬性的招式威力就會增強。
岩石石板,岩石石板,岩石属性的石板。携带后，岩石属性的招式威力就会增强。,岩石屬性的石板。攜帶後，岩石屬性的招式威力就會增強。,岩石屬性的石板。攜帶後，岩石屬性的招式威力就會增強。
妖怪石板,妖怪石板,幽灵属性的石板。携带后，幽灵属性的招式威力就会增强。,幽靈屬性的石板。攜帶後，幽靈屬性的招式威力就會增強。,幽靈屬性的石板。攜帶後，幽靈屬性的招式威力就會增強。
龙之石板,龍之石板,龙属性的石板。携带后，龙属性的招式威力就会增强。,龍屬性的石板。攜帶後，龍屬性的招式威力就會增強。,龍屬性的石板。攜帶後，龍屬性的招式威力就會增強。
恶颜石板,惡顏石板,恶属性的石板。携带后，恶属性的招式威力就会增强。,惡屬性的石板。攜帶後，惡屬性的招式威力就會增強。,惡屬性的石板。攜帶後，惡屬性的招式威力就會增強。
钢铁石板,鋼鐵石板,钢属性的石板。携带后，钢属性的招式威力就会增强。,鋼屬性的石板。攜帶後，鋼屬性的招式威力就會增強。,鋼屬性的石板。攜帶後，鋼屬性的招式威力就會增強。
奇异薰香,奇異薰香,有着神奇香气的薰香。携带后，超能力属性的招式威力就会提高。,有著神奇香氣的薰香。攜帶後，超能力屬性的招式威力就會提高。,有著神奇香氣的薰香。攜帶後，超能力屬性的招式威力就會提高。
岩石薰香,岩石薰香,有着神奇香气的薰香。携带后，岩石属性的招式威力就会提高。,有著神奇香氣的薰香。攜帶後，岩石屬性的招式威力就會提高。,有著神奇香氣的薰香。攜帶後，岩石屬性的招式威力就會提高。
饱腹薰香,飽腹薰香,有着神奇香气的薰香。携带后，宝可梦的行动会比平时更加迟缓。,有著神奇香氣的薰香。攜帶後，寶可夢的行動會比平時更加緩慢。,有著神奇香氣的薰香。攜帶後，寶可夢的行動會比平時更加遲緩。
涟漪薰香,漣漪薰香,有着神奇香气的薰香。携带后，水属性的招式威力就会提高。,有著神奇香氣的薰香。攜帶後，水屬性的招式威力就會提高。,有著神奇香氣的薰香。攜帶後，水屬性的招式威力就會提高。
花朵薰香,花朵薰香,有着神奇香气的薰香。携带后，草属性的招式威力就会提高。,有著神奇香氣的薰香。攜帶後，草屬性的招式威力就會提高。,有著神奇香氣的薰香。攜帶後，草屬性的招式威力就會提高。
幸运薰香,幸運薰香,只要携带它的宝可梦在战斗时出场一次，就能获得２倍金钱。,只要攜帶它的寶可夢在戰鬥時出場一次，就能獲得２倍金錢。,只要攜帶它的寶可夢在戰鬥時出場一次，就能獲得２倍金錢。
洁净薰香,潔淨薰香,让排在最前面的宝可梦携带后，野生宝可梦就会不容易出现。,讓排在最前面的寶可夢攜帶後，野生寶可夢會變得不容易出現。,讓排在最前面的寶可夢攜帶後，野生寶可夢就會不容易出現。
护具,護具,某种护具。非常坚硬而且沉重。某种宝可梦很喜欢它。,某種護具。非常堅硬而且沉重。某種寶可夢很喜歡它。,某種護具。非常堅硬而且沉重。某種寶可夢很喜歡它。
电力增幅器,電力增幅器,积蓄着庞大电气能量的箱子。某种宝可梦很喜欢它。,蓄積著龐大電氣能量的箱子。某種寶可夢很喜歡它。,積蓄著龐大電氣能量的箱子。某種寶可夢很喜歡它。
熔岩增幅器,熔岩增幅器,积蓄着庞大熔岩能量的箱子。某种宝可梦很喜欢它。,蓄積著龐大熔岩能量的箱子。某種寶可夢很喜歡它。,積蓄著龐大熔岩能量的箱子。某種寶可夢很喜歡它。
可疑补丁,可疑修正檔,内部储存了奇怪信息的透明机器。制造者不明。,內部儲存了可疑資訊的透明機器。製造者不明。,內部儲存了奇怪資訊的透明機器。製造者不明。
灵界之布,靈界之布,蕴含着惊人强大灵力的布。某种宝可梦很喜欢它。,蘊含著驚人的強大靈力的布。某種寶可夢很喜歡它。,蘊含著驚人強大靈力的布。某種寶可夢很喜歡它。
锐利之爪,銳利之爪,尖锐的爪子。携带后，招式会变得容易击中要害。,尖銳的爪子。攜帶後，招式會變得容易擊中要害。,尖銳的爪子。攜帶後，招式會變得容易擊中要害。
