大师球,大師球,必定能捉到野生宝可梦的，性能最好的球。,性能最好的球。必定能捉到野生寶可夢。,必定能捉到野生寶可夢的，性能最好的球。
探险套装,探險組合,装着有助于探险且方便使用的道具的袋子。有了它就可以进入地下通道。,裝著探險時可派上用場的好用道具的袋子。可以進入地下通道。,裝著有助於探險且方便使用的道具的袋子。有了它就可以進入地下通道。
宝物袋,寶物袋,结实的大袋子。可以将在煤矿里获得的宝物放进去。,結實的大袋子。可以將在礦坑裡獲得的寶物放進去。,結實的大袋子。可以將在煤礦裡獲得的寶物放進去。
规则书,規則書,写着对战规则。在进行连接对战时，可以选择规则。,寫著對戰規則。在進行連線對戰時，可以選擇規則。,寫著對戰規則。在進行連接對戰時，可以選擇規則。
宝可追踪,寶可追蹤,能够将藏在草丛里的宝可梦找出来的道具。走路就能给电池充电。,能夠將藏在草叢裡的寶可夢找出來的道具。走路就能給電池充電。,能夠將藏在草叢裡的寶可夢找出來的道具。走路就能給電池充電。
点数卡,點數卡,可以查看赢得的对战点数的卡片。,可以查看贏得的對戰點數的卡片。,可以查看贏得的對戰點數的卡片。
冒险笔记,冒險筆記,记录着到现在为止的冒险经历的笔记。,記錄著到目前為止的冒險歷程的筆記。,記錄著到現在為止的冒險經歷的筆記。
贴纸盒,貼紙盒,放有贴在球壳上的贴纸的容器。,放有貼在球殼上的貼紙的容器。,放有貼在球殼上的貼紙的容器。
饰品盒,飾品盒,漂亮精美的盒子。可以存放宝可梦出演音乐剧时用来装扮自己的多种小物件。,漂亮精美的盒子。可以存放多種用來裝扮出演音樂劇的寶可夢的小飾品。,漂亮精美的盒子。可以存放寶可夢出演音樂劇時用來裝扮自己的多種小物件。
贴纸袋,貼紙袋,可以放入１０张贴纸的小袋子。,可以放入１０張貼紙的小袋子。,可以放入１０張貼紙的小袋子。
朋友手册,朋友手冊,使用方便的手册。可以添加朋友或记录游戏的内容。,好用的手冊。可以新增朋友或記錄遊戲的內容。,使用方便的手冊。可以添加朋友或記錄遊戲的內容。
发电厂钥匙,發電廠鑰匙,用来打开或关闭山谷发电厂大门的大钥匙。不知为何，它落入了银河队的手中。,用來打開或關閉山谷發電廠大門的大鑰匙。不知為何它在銀河隊手中。,用來打開或關閉山谷發電廠大門的大鑰匙。不知為何，它落入了銀河隊的手中。
古代护符,古代護符,要交给神和镇上长老的远古护符。由宝可梦的骨头制成。,要交給神和鎮上長老的遠古護符。由寶可夢的骨頭製成。,要交給神和鎮上長老的遠古護符。由寶可夢的骨頭製成。
银河队钥匙,銀河隊鑰匙,用于解除银河队本部安全防范系统的钥匙卡。弄丢了的话，好像会受到惩罚。,用於解除銀河隊本部保全系統的鑰匙卡。弄丟了的話，好像會受到懲罰。,用於解除銀河隊本部安全防範系統的鑰匙卡。弄丟了的話，好像會受到懲罰。
红色锁链,紅色鎖鏈,神话道具。据说连接着孕育出神奥地区的传说的宝可梦。,神話道具。據說連結著孕育出神奧地區的傳說的寶可夢。,神話道具。據說連接著孕育出神奧地區的傳說的寶可夢。
城镇地图,城鎮地圖,可以随时轻松查看的便利地图。也能清楚自己的位置。,可以隨時輕鬆查看的好用地圖。也能知道自己的位置。,可以隨時輕鬆查看的便利地圖。也能清楚自己的位置。
对战搜寻器,對戰搜尋器,会告诉你想对战的训练家在哪里的机器。走路就能给电池充电。,會告訴你想對戰的訓練家在哪裡的機器。走路就能給電池充電。,會告訴你想對戰的訓練家在哪裡的機器。走路就能給電池充電。
代币盒,代幣盒,可以存放代币的盒子。最多能放入５００００枚在游戏城获得的代币。,最多可以放入５００００枚在遊戲城獲得的代幣的盒子。,可以存放代幣的盒子。最多能放入５００００枚在遊戲城獲得的代幣。
破旧钓竿,破舊釣竿,又破又旧的钓竿。在有水的地方使用的话，可以钓到宝可梦。,又破又舊的釣竿。在有水的地方使用的話，可以釣到寶可夢。,又破又舊的釣竿。在有水的地方使用的話，可以釣到寶可夢。
好钓竿,好釣竿,不错的新钓竿。在有水的地方使用的话，可以钓到宝可梦。,不錯的新釣竿。在有水的地方使用的話，可以釣到寶可夢。,不錯的新釣竿。在有水的地方使用的話，可以釣到寶可夢。
厉害钓竿,厲害釣竿,最新的厉害钓竿。在有水的地方使用的话，可以钓到宝可梦。,最新的厲害釣竿。在有水的地方使用的話，可以釣到寶可夢。,最新的厲害釣竿。在有水的地方使用的話，可以釣到寶可夢。
可达鸭喷壶,可達鴨噴壺,浇水的道具。能让埋在松软土壤里的树果快快长大。,澆水的器具。能讓埋在鬆軟土壤裡的樹果快快長大。,澆水的道具。能讓埋在鬆軟土壤裡的樹果快快長大。
宝芬盒,寶芬盒,用来保存烹饪好的宝芬的容器。,用來存放做好的寶芬的容器。,用來保存烹飪好的寶芬的容器。
自行车,自行車,能比跑步鞋跑得还快的折叠式自行车。,能跑得比跑步鞋還快的折疊式自行車。,能比跑步鞋跑得還快的摺疊式自行車。
房间钥匙,房間鑰匙,湖畔高级宾馆的房间钥匙。不知为何，它经常会丢失。,湖畔高級旅館的房間鑰匙。不知為何老是搞丟。,湖畔高級旅館的房間鑰匙。不知為何，它經常會丟失。
大木的信,大木的信,大木博士的来信。上面写着请来２２４号道路。,來自大木博士的信。上面寫著請來２２４號道路。,大木博士的來信。上面寫著請來２２４號道路。
新月之羽,新月之羽,散发着月辉般光芒的羽毛。据说隐藏着可以驱散恶梦的力量。,散發著月輝般光芒的羽毛。據說隱藏著可以驅除惡夢的力量。,散發著月輝般光芒的羽毛。據說隱藏著可以驅散惡夢的力量。
会员卡,會員卡,可以进入水脉市旅馆的卡片。不知为何，上面刻有５０年前左右的日期。,可以進入水脈市旅館的卡片。不知為何，上面刻有５０年前左右的日期。,可以進入水脈市旅館的卡片。不知為何，上面刻有５０年前左右的日期。
天界之笛,天界之笛,能发出响彻云霄的天籁之音的笛子。不知道是谁在什么时候制造的它。,能發出響徹雲霄的天籟之音的笛子。不知是什麼人在什麼時候製造了它。,能發出響徹雲霄的天籟之音的笛子。不知道是誰在什麼時候製造的它。
船票,船票,乘坐高速船水流号时所需的船票。上面绘有船的图案。,乘坐高速船水流號時所需的船票。上面繪有船的圖案。,乘坐高速船水流號時所需的船票。上面繪有船的圖案。
华丽大赛参加证,華麗大賽參加證,拿着它就可以参加宝可梦华丽大赛。上面印有纪念奖章。,拿著它就可以參加寶可夢華麗大賽。上面印有紀念獎章。,拿著它就可以參加寶可夢華麗大賽。上面印有紀念獎章。
火山镇石,火山鎮石,被灼热熔岩熔化的岩石凝固后形成的产物。里面还留有熔岩。,被灼熱熔岩熔化的岩石凝固後形成的產物。裡面還留有熔岩。,被灼熱熔岩熔化的岩石凝固後形成的產物。裡面還留有熔岩。
包裹,包裹,这是别人托付给你的包裹。需要将它交给从双叶镇启程踏上旅途的青梅竹马。,受人之託要交給從雙葉鎮啟程踏上旅途的青梅竹馬的包裹。,這是別人託付給你的包裹。需要將它交給從雙葉鎮啟程踏上旅途的青梅竹馬。
兑换券１,兌換券１,获取宝可梦手表，简称宝可表时所需的兑换券。需要３张。,欲取得寶可夢手錶，簡稱寶可錶時所需的兌換券。需要３張。,獲取寶可夢手錶，簡稱寶可錶時所需的兌換券。需要３張。
兑换券２,兌換券２,获取宝可梦手表，简称宝可表时所需的兑换券。需要３张。,欲取得寶可夢手錶，簡稱寶可錶時所需的兌換券。需要３張。,獲取寶可夢手錶，簡稱寶可錶時所需的兌換券。需要３張。
兑换券３,兌換券３,获取宝可梦手表，简称宝可表时所需的兑换券。需要３张。,欲取得寶可夢手錶，簡稱寶可錶時所需的兌換券。需要３張。,獲取寶可夢手錶，簡稱寶可錶時所需的兌換券。需要３張。
仓库钥匙,倉庫鑰匙,用于进入银河队在帷幕市市郊的可疑仓库的钥匙。,用於進入銀河隊在帷幕市市郊的可疑倉庫的鑰匙。,用於進入銀河隊在帷幕市市郊的可疑倉庫的鑰匙。
秘传之药,秘傳之藥,在湛蓝市的药店里得到的，能让任何宝可梦立刻变得精力充沛的高效药。,在湛藍市的藥店裡得到的，不管什麼寶可夢都能立刻變得精力充沛的高效藥。,在湛藍市的藥店裡得到的，能讓任何寶可夢立刻變得精力充沛的高效藥。
对战记录器,對戰記錄器,很酷的机器。可以记录和朋友或在特殊设施里的对战过程。,很酷的機器。可以記錄和朋友或在特殊設施裡的對戰過程。,很酷的機器。可以記錄和朋友或在特殊設施裡的對戰過程。
葛拉西蒂亚花,葛拉西蒂亞花,在生日或纪念日等日子里，为了表达感激之情，有时会将其扎成花束送出。,在生日或紀念日等日子裡，為了表達感激之情，有時會將其紮成花束送出。,在生日或紀念日等日子裡，為了表達感激之情，有時會將其紮成花束送出。
秘密钥匙,秘密鑰匙,在特定的地方使用，就会发出特殊电信号来开门的高科技钥匙。,在特定的地方使用，就會發出特殊電子訊號來開門的高科技鑰匙。,在特定的地方使用，就會發出特殊電信號來開門的高科技鑰匙。
球果盒,球果盒,使用方便，可以保存９９个球果的容器。,可以存放９９個球果的好用容器。,使用方便，可以保存９９個球果的容器。
未知图腾笔记,未知圖騰筆記,记录着已找到的未知图腾样子的笔记本。,記錄著已找到的未知圖騰樣子的筆記本。,記錄著已找到的未知圖騰樣子的筆記本。
树果种植盆,樹果種植盆,可以随时轻松培育树果的便携式栽培容器。,可以隨時輕鬆培育樹果的可攜式栽培容器。,可以隨時輕鬆培育樹果的便攜式栽培容器。
探宝器,探寶器,会对看不见的道具起反应，并将它的位置告诉你的最尖端机器。戴在头上使用。,會對看不見的道具起反應，並將它的位置告訴你的最尖端機器。戴在頭上使用。,會對看不見的道具起反應，並將它的位置告訴你的最尖端機器。戴在頭上使用。
蓝卡,藍卡,可以将《葵妍的密语》这节目的点数积攒起来的卡片。,可以將《葵妍的密語》這節目的點數儲存起來的卡片。,可以將《葵妍的密語》這節目的點數積攢起來的卡片。
美味尾巴,美味尾巴,非常美味的某种尾巴。可以在商店高价出售。,非常美味的某種尾巴。可以在商店高價出售。,非常美味的某種尾巴。可以在商店高價出售。
透明铃铛,透明鈴鐺,能发出静心宁神音色的，非常古旧的铃铛。,能發出使人心情平靜音色的，非常古老的鈴鐺。,能發出靜心寧神音色的，非常古舊的鈴鐺。
钥匙卡,鑰匙卡,用来打开电台卷帘门的卡片式钥匙。,用來打開電臺鐵捲門的卡片式鑰匙。,用來打開電台捲簾門的卡片式鑰匙。
地下钥匙,地下鑰匙,用来打开满金地道大门的钥匙。,用來打開滿金地下道的門的鑰匙。,用來打開滿金地下道大門的鑰匙。
杰尼龟喷壶,傑尼龜噴壺,浇水的道具。能让树果种植盆里的树果快快长大。,澆水的器具。能讓樹果種植盆裡的樹果快快長大。,澆水的道具。能讓樹果種植盆裡的樹果快快長大。
红色鳞片,紅色鱗片,在愤怒之湖里出现的红色暴鲤龙的鳞片。散发着像火一样的红色光芒。,在憤怒之湖裡出現的紅色暴鯉龍的鱗片。散發著像火一樣的紅色光芒。,在憤怒之湖裡出現的紅色暴鯉龍的鱗片。散發著像火一樣的紅色光芒。
遗失物,遺失物,模仿少女丢失的魔尼尼人偶。,模仿少女丟失的魔尼尼人偶。,模仿少女丟失的魔尼尼人偶。
磁浮列车自由票,磁浮列車自由票,乘坐磁浮列车时所需的车票。可以随时自由乘坐。,乘坐磁浮列車時所需的車票。可以隨時自由乘坐。,乘坐磁浮列車時所需的車票。可以隨時自由乘坐。
机械零件,機械零件,发电厂里被盗的，用于发电机的重要零件。,被人從發電廠裡偷走的發電機的重要零件。,發電廠裡被盜的，用於發電機的重要零件。
银色之羽,銀色之羽,散发着银色光辉的神奇羽毛。,散發著銀色光輝的神奇羽毛。,散發著銀色光輝的神奇羽毛。
虹色之羽,虹色之羽,散发着虹色光辉的神奇羽毛。,散發著虹色光輝的神奇羽毛。,散發著虹色光輝的神奇羽毛。
神奇蛋,神奇蛋,从宝可梦爷爷那里得到的有着神奇花纹的蛋。不知道是什么的蛋。,從寶可夢爺爺那裡得到的有著神奇花紋的蛋。不知道是什麼的蛋。,從寶可夢爺爺那裡得到的有著神奇花紋的蛋。不知道是什麼的蛋。
红球果,紅球果,红色的球果。有种刺鼻的气味。,紅色的球果。有種刺鼻的氣味。,紅色的球果。有種刺鼻的氣味。
蓝球果,藍球果,蓝色的球果。略有一股青草的香味。,藍色的球果。略有一股青草的香味。,藍色的球果。略有一股青草的香味。
黄球果,黃球果,黄色的球果。有种清爽的香味。,黃色的球果。有種清爽的香味。,黃色的球果。有種清爽的香味。
绿球果,綠球果,绿色的球果。有种焦香的香味，非常神奇。,綠色的球果。有種焦香的香味，非常神奇。,綠色的球果。有種焦香的香味，非常神奇。
粉球果,粉球果,粉红色的球果。有种甜甜的，好闻的香味。,粉紅色的球果。有種甜甜的，好聞的香味。,粉紅色的球果。有種甜甜的，好聞的香味。
白球果,白球果,白色的球果。没有任何气味。,白色的球果。沒有任何氣味。,白色的球果。沒有任何氣味。
黑球果,黑球果,黑色的球果。有种无法形容的气味。,黑色的球果。有種無法形容的氣味。,黑色的球果。有種無法形容的氣味。
速度球,速度球,有点与众不同的球。能很容易地捕捉逃跑速度很快的宝可梦。,有點與眾不同的球。能更容易地捉到逃跑速度很快的寶可夢。,有點與眾不同的球。能很容易地捕捉逃跑速度很快的寶可夢。
等级球,等級球,有点与众不同的球。要捕捉的宝可梦比自己宝可梦的等级越低，就会越容易捕捉。,有點與眾不同的球。對手的等級比自己的寶可夢低越多，就越容易捉到。,有點與眾不同的球。要捕捉的寶可夢比自己寶可夢的等級越低，就會越容易捕捉。
诱饵球,誘餌球,有点与众不同的球。能很容易地捕捉用钓竿钓上来的宝可梦。,有點與眾不同的球。能更容易地捉到用釣竿釣上來的寶可夢。,有點與眾不同的球。能很容易地捕捉用釣竿釣上來的寶可夢。
沉重球,沉重球,有点与众不同的球。能很容易地捕捉身体沉重的宝可梦。,有點與眾不同的球。能更容易地捉到身體沉重的寶可夢。,有點與眾不同的球。能很容易地捕捉身體沉重的寶可夢。
甜蜜球,甜蜜球,有点与众不同的球。能很容易地捕捉和自己宝可梦性别不同的宝可梦。,有點與眾不同的球。能更容易地捉到與自己的寶可夢性別不同的寶可夢。,有點與眾不同的球。能很容易地捕捉和自己寶可夢性別不同的寶可夢。
友友球,友友球,有点与众不同的球。捉到的野生宝可梦会立刻变得和训练家亲密起来。,有點與眾不同的球。捉到的野生寶可夢會立刻和訓練家變得親密。,有點與眾不同的球。捉到的野生寶可夢會立刻變得和訓練家親密起來。
月亮球,月亮球,有点与众不同的球。能很容易地捕捉使用月之石进化的宝可梦。,有點與眾不同的球。能更容易地捉到使用月之石進化的寶可夢。,有點與眾不同的球。能很容易地捕捉使用月之石進化的寶可夢。
竞赛球,競賽球,在捕虫大赛上使用的特殊的球。,在捕蟲大賽上使用的特殊的球。,在捕蟲大賽上使用的特殊的球。
公园球,公園球,在伙伴公园里使用的特殊的球。,在夥伴公園裡使用的特殊的球。,在夥伴公園裡使用的特殊的球。
相册,相簿,用来摆放在冒险中拍摄的纪念相片的相册。,用來擺放在冒險中拍攝的紀念照片的相簿。,用來擺放在冒險中拍攝的紀念相片的相簿。
ＧＢ播放器,ＧＢ播放器,可以听到怀旧歌曲的音乐播放器。可用一个开关切换歌曲。,可以聽到懷舊歌曲的音樂播放機。可一鍵切換歌曲。,可以聽到懷舊歌曲的音樂播放器。可用一個開關切換歌曲。
海声铃铛,海聲鈴鐺,能发出静心宁神音色的，非常古旧的铃铛。,能發出使人心情平靜音色的，非常古老的鈴鐺。,能發出靜心寧神音色的，非常古舊的鈴鐺。
愤怒馒头,憤怒饅頭,卡吉镇特产的馒头。能治愈１只宝可梦的所有异常状态。,卡吉鎮特產的饅頭。能治癒１隻寶可夢的所有異常狀態。,卡吉鎮特產的饅頭。能治癒１只寶可夢的所有異常狀態。
草绿色宝珠,草綠色寶珠,散发着绿色光辉的宝珠。据说和丰缘地区的传说渊源颇深。,據說和豐緣地區的傳說有著很深淵源的，散發著綠色光輝的寶珠。,散發著綠色光輝的寶珠。據說和豐緣地區的傳說淵源頗深。
上锁的容器,上鎖的容器,需用特殊钥匙打开的坚固的容器。,需用特殊鑰匙打開的堅固的容器。,需用特殊鑰匙打開的堅固的容器。
朱红色宝珠,朱紅色寶珠,散发着红色光辉的宝珠。据说和丰缘地区的传说渊源颇深。,據說和豐緣地區的傳說有著很深淵源的，散發著紅色光輝的寶珠。,散發著紅色光輝的寶珠。據說和豐緣地區的傳說淵源頗深。
靛蓝色宝珠,靛藍色寶珠,散发着蓝色光辉的宝珠。据说和丰缘地区的传说渊源颇深。,據說和豐緣地區的傳說有著很深淵源的，散發著藍色光輝的寶珠。,散發著藍色光輝的寶珠。據說和豐緣地區的傳說淵源頗深。
谜之水晶,謎之水晶,从地下挖出的水晶球。虽然表面覆盖着岩石和尘土，但非常漂亮。,從地下挖出的水晶球。雖然表面覆蓋著岩石和塵土，但非常漂亮。,從地下挖出的水晶球。雖然表面覆蓋著岩石和塵土，但非常漂亮。
美丽鳞片,美麗鱗片,能让某些特定宝可梦进化的神奇鳞片。散发着虹色光辉。,能讓特定寶可夢進化的神奇鱗片。散發著虹色光輝。,能讓某些特定寶可夢進化的神奇鱗片。散發著虹色光輝。
进化奇石,進化奇石,进化的神奇石块。携带后，还能进化的宝可梦的防御和特防就会提高。,進化的神奇石塊。攜帶後，還能進化的寶可夢的防禦和特防就會提高。,進化的神奇石塊。攜帶後，還能進化的寶可夢的防禦和特防就會提高。
轻石,輕石,非常轻的石头。携带后，宝可梦的体重会变轻。,非常輕的石頭。攜帶後，寶可夢的體重會變輕。,非常輕的石頭。攜帶後，寶可夢的體重會變輕。
凸凸头盔,凸凸頭盔,让宝可梦携带后，在受到打击招式攻击时，能给予对手伤害。,讓寶可夢攜帶後，在受到打擊招式攻擊時，也能給予對手傷害。,讓寶可夢攜帶後，在受到打擊招式攻擊時，能給予對手傷害。
气球,氣球,让宝可梦携带后，宝可梦会浮在空中。受到攻击就会破裂。,讓寶可夢攜帶後，寶可夢會浮在空中。受到攻擊就會破裂。,讓寶可夢攜帶後，寶可夢會浮在空中。受到攻擊就會破裂。
红牌,紅牌,有着神奇力量的卡片。携带后，能让使用了招式的对手退场。,有著神奇力量的卡片。攜帶後，能讓使用了招式的對手退場。,有著神奇力量的卡片。攜帶後，能讓使用了招式的對手退場。
标靶,標靶,原本因宝可梦的属性相克关系而无效的招式现在会变得能够击中自己。,原本因寶可夢的屬性相剋關係而無效的招式現在會變得能夠擊中自己。,原本因寶可夢的屬性相剋關係而無效的招式現在會變得能夠擊中自己。
紧绑束带,緊綁束帶,能增强绑紧招式的束带。携带后，绑紧招式的威力会变强。,輔助綁緊類招式的束帶。攜帶後，綁緊類招式的威力會變強。,能增強綁緊招式的束帶。攜帶後，綁緊招式的威力會變強。
球根,球根,一次性使用的球根。携带它的宝可梦如果受到水属性招式的攻击，特攻就会提高。,只能使用一次的球根。攜帶它的寶可夢如果受到水屬性招式的攻擊，特攻就會提高。,一次性使用的球根。攜帶它的寶可夢如果受到水屬性招式的攻擊，特攻就會提高。
充电电池,充電電池,一次性使用的充电电池。携带它的宝可梦如果受到电属性招式的攻击，攻击就会提高。,只能使用一次的充電電池。攜帶它的寶可夢如果受到電屬性招式的攻擊，攻擊就會提高。,一次性使用的充電電池。攜帶它的寶可夢如果受到電屬性招式的攻擊，攻擊就會提高。
逃脱按键,逃脫按鍵,携带它的宝可梦如果受到招式攻击，就能逃脱战斗，并和同行的其他宝可梦进行替换。,攜帶它的寶可夢如果受到招式攻擊，就能從戰鬥中逃脫，並和同行的其他寶可夢進行替換。,攜帶它的寶可夢如果受到招式攻擊，就能逃脫戰鬥，並和同行的其他寶可夢進行替換。
火之宝石,火之寶石,火属性的宝石。携带后，火属性的招式威力仅会增强１次。,火屬性的寶石。攜帶後，火屬性招式的威力會僅增強１次。,火屬性的寶石。攜帶後，火屬性的招式威力僅會增強１次。
水之宝石,水之寶石,水属性的宝石。携带后，水属性的招式威力仅会增强１次。,水屬性的寶石。攜帶後，水屬性招式的威力會僅增強１次。,水屬性的寶石。攜帶後，水屬性的招式威力僅會增強１次。
电之宝石,電之寶石,电属性的宝石。携带后，电属性的招式威力仅会增强１次。,電屬性的寶石。攜帶後，電屬性招式的威力會僅增強１次。,電屬性的寶石。攜帶後，電屬性的招式威力僅會增強１次。
草之宝石,草之寶石,草属性的宝石。携带后，草属性的招式威力仅会增强１次。,草屬性的寶石。攜帶後，草屬性招式的威力會僅增強１次。,草屬性的寶石。攜帶後，草屬性的招式威力僅會增強１次。
冰之宝石,冰之寶石,冰属性的宝石。携带后，冰属性的招式威力仅会增强１次。,冰屬性的寶石。攜帶後，冰屬性招式的威力會僅增強１次。,冰屬性的寶石。攜帶後，冰屬性的招式威力僅會增強１次。
格斗宝石,格鬥寶石,格斗属性的宝石。携带后，格斗属性的招式威力仅会增强１次。,格鬥屬性的寶石。攜帶後，格鬥屬性招式的威力會僅增強１次。,格鬥屬性的寶石。攜帶後，格鬥屬性的招式威力僅會增強１次。
毒之宝石,毒之寶石,毒属性的宝石。携带后，毒属性的招式威力仅会增强１次。,毒屬性的寶石。攜帶後，毒屬性招式的威力會僅增強１次。,毒屬性的寶石。攜帶後，毒屬性的招式威力僅會增強１次。
地面宝石,地面寶石,地面属性的宝石。携带后，地面属性的招式威力仅会增强１次。,地面屬性的寶石。攜帶後，地面屬性招式的威力會僅增強１次。,地面屬性的寶石。攜帶後，地面屬性的招式威力僅會增強１次。
飞行宝石,飛行寶石,飞行属性的宝石。携带后，飞行属性的招式威力仅会增强１次。,飛行屬性的寶石。攜帶後，飛行屬性招式的威力會僅增強１次。,飛行屬性的寶石。攜帶後，飛行屬性的招式威力僅會增強１次。
超能力宝石,超能力寶石,超能力属性的宝石。携带后，超能力属性的招式威力仅会增强１次。,超能力屬性的寶石。攜帶後，超能力屬性招式的威力會僅增強１次。,超能力屬性的寶石。攜帶後，超能力屬性的招式威力僅會增強１次。
虫之宝石,蟲之寶石,虫属性的宝石。携带后，虫属性的招式威力仅会增强１次。,蟲屬性的寶石。攜帶後，蟲屬性招式的威力會僅增強１次。,蟲屬性的寶石。攜帶後，蟲屬性的招式威力僅會增強１次。
岩石宝石,岩石寶石,岩石属性的宝石。携带后，岩石属性的招式威力仅会增强１次。,岩石屬性的寶石。攜帶後，岩石屬性招式的威力會僅增強１次。,岩石屬性的寶石。攜帶後，岩石屬性的招式威力僅會增強１次。
幽灵宝石,幽靈寶石,幽灵属性的宝石。携带后，幽灵属性的招式威力仅会增强１次。,幽靈屬性的寶石。攜帶後，幽靈屬性招式的威力會僅增強１次。,幽靈屬性的寶石。攜帶後，幽靈屬性的招式威力僅會增強１次。
龙之宝石,龍之寶石,龙属性的宝石。携带后，龙属性的招式威力仅会增强１次。,龍屬性的寶石。攜帶後，龍屬性招式的威力會僅增強１次。,龍屬性的寶石。攜帶後，龍屬性的招式威力僅會增強１次。
恶之宝石,惡之寶石,恶属性的宝石。携带后，恶属性的招式威力仅会增强１次。,惡屬性的寶石。攜帶後，惡屬性招式的威力會僅增強１次。,惡屬性的寶石。攜帶後，惡屬性的招式威力僅會增強１次。
钢之宝石,鋼之寶石,钢属性的宝石。携带后，钢属性的招式威力仅会增强１次。,鋼屬性的寶石。攜帶後，鋼屬性招式的威力會僅增強１次。,鋼屬性的寶石。攜帶後，鋼屬性的招式威力僅會增強１次。
一般宝石,一般寶石,一般属性的宝石。携带后，一般属性的招式威力仅会增强１次。,一般屬性的寶石。攜帶後，一般屬性招式的威力會僅增強１次。,一般屬性的寶石。攜帶後，一般屬性的招式威力僅會增強１次。
体力之羽,體力之羽,用于宝可梦的道具。能稍微提高１只宝可梦的ＨＰ的基础点数。,用於寶可夢的道具。能稍微提高１隻寶可夢的ＨＰ的基礎點數。,用於寶可夢的道具。能稍微提高１只寶可夢的ＨＰ的基礎點數。
