拍击,拍擊,使用长长的尾巴或手等拍打对手进行攻击。,使用長長的尾巴或手等拍打對手進行攻擊。,使用長長的尾巴或手等拍打對手進行攻擊。
空手劈,空手劈,用锋利的手刀劈向对手进行攻击。容易击中要害。,用鋒利的手刀劈向對手進行攻擊。容易擊中要害。,用鋒利的手刀劈向對手進行攻擊。容易擊中要害。
连环巴掌,連環巴掌,用连环巴掌拍打对手进行攻击。连续攻击２～５次。,用連環巴掌拍打對手進行攻擊。會連續攻擊２～５次。,用連環巴掌拍打對手進行攻擊。連續攻擊２～５次。
连续拳,連續拳,用拳头怒涛般的殴打对手进行攻击。连续攻击２～５次。,用怒濤般的拳頭毆打對手進行攻擊。連續攻擊２～５次。,用拳頭怒濤般的毆打對手進行攻擊。連續攻擊２～５次。
百万吨重拳,百萬噸重拳,用充满力量的拳头攻击对手。,用帶有強大力量的拳頭攻擊對手。,用充滿力量的拳頭攻擊對手。
聚宝功,聚寶功,向对手的身体投掷小金币进行攻击。战斗后可以拿到钱。,往對手身上投擲金幣進行攻擊。戰鬥後可以得到錢。,向對手的身體投擲小金幣進行攻擊。戰鬥後可以拿到錢。
火焰拳,火焰拳,用充满火焰的拳头攻击对手。有时会让对手陷入灼伤状态。,用帶有火焰的拳頭攻擊對手。有時會讓對手陷入灼傷狀態。,用充滿火焰的拳頭攻擊對手。有時會讓對手陷入灼傷狀態。
冰冻拳,冰凍拳,用充满寒气的拳头攻击对手。有时会让对手陷入冰冻状态。,用帶有寒氣的拳頭攻擊對手。有時會讓對手陷入冰凍狀態。,用充滿寒氣的拳頭攻擊對手。有時會讓對手陷入冰凍狀態。
雷电拳,雷電拳,用充满电流的拳头攻击对手。有时会让对手陷入麻痹状态。,用帶有電流的拳頭攻擊對手。有時會讓對手陷入麻痺狀態。,用充滿電流的拳頭攻擊對手。有時會讓對手陷入麻痺狀態。
抓,抓,用坚硬且无比锋利的爪子抓对手进行攻击。,用堅硬且無比鋒利的爪子抓對手進行攻擊。,用堅硬且無比鋒利的爪子抓對手進行攻擊。
夹住,夾住,将对手从两侧夹住，给予伤害。,從兩側夾住對手，給予傷害。,將對手從兩側夾住，給予傷害。
断头钳,斷頭鉗,用大钳子或剪刀等夹断对手进行攻击。只要命中就会一击濒死。,用巨大的鉗子或剪刀等撕裂對手進行攻擊。只要命中就會一擊瀕死。,用大鉗子或剪刀等夾斷對手進行攻擊。只要命中就會一擊瀕死。
旋风刀,旋風刀,制造风之刃，于第２回合攻击对手。容易击中要害。,製造出風之刃，在下一回合攻擊對手。容易擊中要害。,製造風之刃，於第２回合攻擊對手。容易擊中要害。
剑舞,劍舞,激烈地跳起战舞提高气势。大幅提高自己的攻击。,激烈地跳起戰舞提升氣勢。大幅提高自己的攻擊。,激烈地跳起戰舞提高氣勢。大幅提高自己的攻擊。
居合斩,居合斬,用镰刀或爪子等切斩对手进行攻击。,用鐮刀或爪子等斬切對手進行攻擊。,用鐮刀或爪子等切斬對手進行攻擊。
起风,起風,用翅膀将刮起的狂风袭向对手进行攻击。,用翅膀刮起狂風，吹向對手進行攻擊。,用翅膀將颳起的狂風襲向對手進行攻擊。
翅膀攻击,翅膀攻擊,大大地展开美丽的翅膀，将其撞向对手进行攻击。,用大大伸展開來的美麗翅膀，撞向對手進行攻擊。,大大地展開美麗的翅膀，將其撞向對手進行攻擊。
吹飞,吹飛,吹飞对手，强制拉后备宝可梦上场。如果对手为野生宝可梦，战斗将直接结束。,吹飛對手，強制讓後備寶可夢上場。對手為野生寶可夢時，戰鬥將直接結束。,吹飛對手，強制拉後備寶可夢上場。如果對手為野生寶可夢，戰鬥將直接結束。
飞翔,飛翔,第１回合飞上天空，第２回合攻击对手。,使用後的第１回合飛上天空，並於第２回合攻擊對手。,第１回合飛上天空，第２回合攻擊對手。
绑紧,綁緊,使用长长的身体或藤蔓等，在４～５回合内绑紧对手进行攻击。,使用長長的身體或藤蔓等，在４～５回合內綁緊對手進行攻擊。,使用長長的身體或藤蔓等，在４～５回合內綁緊對手進行攻擊。
摔打,摔打,使用长长的尾巴或藤蔓等摔打对手进行攻击。,將長長的尾巴或藤蔓等甩向對手進行攻擊。,使用長長的尾巴或藤蔓等摔打對手進行攻擊。
藤鞭,藤鞭,用如同鞭子般弯曲而细长的藤蔓摔打对手进行攻击。,將如同鞭子般彎曲而細長的藤蔓甩向對手進行攻擊。,用如同鞭子般彎曲而細長的藤蔓摔打對手進行攻擊。
踩踏,踩踏,用大脚踩踏对手进行攻击。有时会使对手畏缩。,用大腳踩踏對手進行攻擊。有時會讓對手畏縮。,用大腳踩踏對手進行攻擊。有時會使對手畏縮。
二连踢,二連踢,用２只脚踢飞对手进行攻击。连续２次给予伤害。,用２隻腳踢飛對手進行攻擊。連續２次給予傷害。,用２只腳踢飛對手進行攻擊。連續２次給予傷害。
百万吨重踢,百萬噸重踢,使出力大无穷的重踢踢飞对手进行攻击。,用灌注了巨大力量的重踢踢飛對手進行攻擊。,使出力大無窮的重踢踢飛對手進行攻擊。
飞踢,飛踢,使出高高的腾空踢攻击对手。如果踢偏则自己会受到伤害。,高高跳起之後使出飛踢攻擊對手。沒踢中對手時自己會受到傷害。,使出高高的騰空踢攻擊對手。如果踢偏則自己會受到傷害。
回旋踢,迴旋踢,一边使身体快速旋转，一边踢飞对手进行攻击。有时会使对手畏缩。,一邊使身體快速旋轉，一邊踢飛對手進行攻擊。有時會使對手畏縮。,一邊使身體快速旋轉，一邊踢飛對手進行攻擊。有時會使對手畏縮。
泼沙,潑沙,向对手脸上泼沙子，从而降低命中率。,向對手的臉上潑沙，降低對手的命中率。,向對手臉上潑沙子，從而降低命中率。
头锤,頭錘,将头伸出，笔直地扑向对手进行攻击。有时会使对手畏缩。,將頭伸出，直直衝向對手進行攻擊。有時會讓對手畏縮。,將頭伸出，筆直地撲向對手進行攻擊。有時會使對手畏縮。
角撞,角撞,用尖锐的角攻击对手。,用尖銳的角攻擊對手。,用尖銳的角攻擊對手。
乱击,亂擊,用角或喙刺向对手进行攻击。连续攻击２～５次。,用角或喙刺向對手進行攻擊。連續攻擊２～５次。,用角或喙刺向對手進行攻擊。連續攻擊２～５次。
角钻,角鑽,用旋转的角刺入对手进行攻击。只要命中就会一击濒死。,用旋轉的角刺進對手進行攻擊。只要命中就會一擊瀕死。,用旋轉的角刺入對手進行攻擊。只要命中就會一擊瀕死。
撞击,撞擊,用整个身体撞向对手进行攻击。,用整個身體撞向對手進行攻擊。,用整個身體撞向對手進行攻擊。
泰山压顶,泰山壓頂,用整个身体压住对手进行攻击。有时会让对手陷入麻痹状态。,用整個身體壓住對手進行攻擊。有時會讓對手陷入麻痺狀態。,用整個身體壓住對手進行攻擊。有時會讓對手陷入麻痺狀態。
紧束,緊束,使用长长的身体或藤蔓等，在４～５回合内紧束对手进行攻击。,使用長長的身體或藤蔓等，在４～５回合內緊束對手進行攻擊。,使用長長的身體或藤蔓等，在４～５回合內緊束對手進行攻擊。
猛撞,猛撞,以惊人的气势撞向对手进行攻击。自己也会受到少许伤害。,以驚人的氣勢撞向對手進行攻擊。自己也會受到少許傷害。,以驚人的氣勢撞向對手進行攻擊。自己也會受到少許傷害。
大闹一番,大鬧一番,在２～３回合内，乱打一气地攻击对手。大闹一番后自己会陷入混乱。,在２～３回合內瘋狂亂打對手進行攻擊。大鬧一番後自己會陷入混亂。,在２～３回合內，亂打一氣地攻擊對手。大鬧一番後自己會陷入混亂。
舍身冲撞,捨身衝撞,拼命地猛撞向对手进行攻击。自己也会受到不小的伤害。,捨身衝撞對手進行攻擊。自己也會受到不小的傷害。,拚命地猛撞向對手進行攻擊。自己也會受到不小的傷害。
摇尾巴,搖尾巴,可爱地左右摇晃尾巴，诱使对手疏忽大意。会降低对手的防御。,可愛地左右搖晃尾巴，誘使對手疏忽大意。可降低對手的防禦。,可愛地左右搖晃尾巴，誘使對手疏忽大意。會降低對手的防禦。
毒针,毒針,将有毒的针刺入对手进行攻击。有时会让对手陷入中毒状态。,將有毒的針刺進對手進行攻擊。有時會讓對手陷入中毒狀態。,將有毒的針刺入對手進行攻擊。有時會讓對手陷入中毒狀態。
双针,雙針,将２根针刺入对手，连续２次给予伤害。有时会让对手陷入中毒状态。,將２根針刺進對手，連續２次給予傷害。有時會讓對手陷入中毒狀態。,將２根針刺入對手，連續２次給予傷害。有時會讓對手陷入中毒狀態。
飞弹针,飛彈針,向对手发射锐针进行攻击。连续攻击２～５次。,向對手發射銳利的針進行攻擊。可連續攻擊２～５次。,向對手發射銳針進行攻擊。連續攻擊２～５次。
瞪眼,瞪眼,用犀利的眼神使其害怕，从而降低对手的防御。,用犀利的眼神使對手害怕，降低對手的防禦。,用犀利的眼神使其害怕，從而降低對手的防禦。
咬住,咬住,用尖锐的牙咬住对手进行攻击。有时会使对手畏缩。,用尖銳的牙齒咬住對手進行攻擊。有時會使對手畏縮。,用尖銳的牙咬住對手進行攻擊。有時會使對手畏縮。
叫声,叫聲,让对手听可爱的叫声，引开注意力使其疏忽，从而降低对手的攻击。,發出可愛的叫聲，誘使對手疏忽大意，降低對手的攻擊。,讓對手聽可愛的叫聲，引開注意力使其疏忽，從而降低對手的攻擊。
吼叫,吼叫,放走对手，强制拉后备宝可梦上场。如果对手为野生宝可梦，战斗将直接结束。,趕走對手，強制讓後備寶可夢上場。對手為野生寶可夢時，戰鬥將直接結束。,放走對手，強制拉後備寶可夢上場。如果對手為野生寶可夢，戰鬥將直接結束。
唱歌,唱歌,让对手听舒适、美妙的歌声，从而陷入睡眠状态。,唱出舒服美妙的歌聲，讓對手陷入睡眠狀態。,讓對手聽舒適、美妙的歌聲，從而陷入睡眠狀態。
超音波,超音波,从身体发出特殊的音波，从而使对手混乱。,從身上發出特殊的音波，讓對手陷入混亂狀態。,從身體發出特殊的音波，從而使對手混亂。
音爆,音爆,将冲击波撞向对手进行攻击。必定会给予２０的伤害。,向對手發射衝擊波進行攻擊。固定給予２０的傷害。,將衝擊波撞向對手進行攻擊。必定會給予２０的傷害。
定身法,定身法,阻碍对手行动，之前使出的招式将在４回合内无法使用。,阻止對手出招，最近一次使用的招式在４回合內無法使用。,阻礙對手行動，之前使出的招式將在４回合內無法使用。
溶解液,溶解液,将强酸泼向对手进行攻击。有时会降低对手的特防。,將強酸潑向對手進行攻擊。有時會降低對手的特防。,將強酸潑向對手進行攻擊。有時會降低對手的特防。
火花,火花,向对手发射小型火焰进行攻击。有时会让对手陷入灼伤状态。,向對手發射小火焰進行攻擊。有時會讓對手陷入灼傷狀態。,向對手發射小型火焰進行攻擊。有時會讓對手陷入灼傷狀態。
喷射火焰,噴射火焰,向对手发射烈焰进行攻击。有时会让对手陷入灼伤状态。,向對手發射強烈火焰進行攻擊。有時會讓對手陷入灼傷狀態。,向對手發射烈焰進行攻擊。有時會讓對手陷入灼傷狀態。
白雾,白霧,用白雾覆盖身体。在５回合内不会让对手降低自己的能力。,用白霧覆蓋身體。在５回合內不會讓對手降低自己的能力。,用白霧覆蓋身體。在５回合內不會讓對手降低自己的能力。
水枪,水槍,向对手猛烈地喷射水流进行攻击。,向對手噴射強烈水流進行攻擊。,向對手猛烈地噴射水流進行攻擊。
水炮,水炮,向对手猛烈地喷射大量水流进行攻击。,向對手猛烈地噴射大量水流進行攻擊。,向對手猛烈地噴射大量水流進行攻擊。
冲浪,衝浪,利用大浪攻击自己周围所有的宝可梦。,使用大浪攻擊自己周圍所有的寶可夢。,利用大浪攻擊自己周圍所有的寶可夢。
冰冻光束,冰凍光束,向对手发射冰冻光束进行攻击。有时会让对手陷入冰冻状态。,向對手發射冰凍光束進行攻擊。有時會讓對手陷入冰凍狀態。,向對手發射冰凍光束進行攻擊。有時會讓對手陷入冰凍狀態。
暴风雪,暴風雪,将猛烈的暴风雪刮向对手进行攻击。有时会让对手陷入冰冻状态。,將猛烈的暴風雪吹向對手進行攻擊。有時會讓對手陷入冰凍狀態。,將猛烈的暴風雪刮向對手進行攻擊。有時會讓對手陷入冰凍狀態。
幻象光线,幻象光線,向对手发射神奇的光线进行攻击。有时会使对手混乱。,向對手發射神奇的光線進行攻擊。有時會使對手混亂。,向對手發射神奇的光線進行攻擊。有時會使對手混亂。
泡沫光线,泡沫光線,向对手猛烈地喷射泡沫进行攻击。有时会降低对手的速度。,向對手猛烈地噴射泡沫進行攻擊。有時會降低對手的速度。,向對手猛烈地噴射泡沫進行攻擊。有時會降低對手的速度。
极光束,極光束,向对手发射虹色光束进行攻击。有时会降低对手的攻击。,向對手發射七彩光束進行攻擊。有時會降低對手的攻擊。,向對手發射虹色光束進行攻擊。有時會降低對手的攻擊。
破坏光线,破壞光線,向对手发射强烈的光线进行攻击。下一回合自己将无法动弹。,向對手發射強烈的光線進行攻擊。下一回合自己將無法動彈。,向對手發射強烈的光線進行攻擊。下一回合自己將無法動彈。
啄,啄,用尖锐的喙或角刺向对手进行攻击。,用尖銳的喙或角刺向對手進行攻擊。,用尖銳的喙或角刺向對手進行攻擊。
啄钻,啄鑽,一边旋转，一边将尖喙刺入对手进行攻击。,一邊旋轉，一邊將尖喙刺進對手進行攻擊。,一邊旋轉，一邊將尖喙刺入對手進行攻擊。
地狱翻滚,地獄翻滾,将对手连同自己一起摔向地面进行攻击。自己也会受到少许伤害。,將對手連同自己一起摔向地面進行攻擊。自己也會受到少許傷害。,將對手連同自己一起摔向地面進行攻擊。自己也會受到少許傷害。
踢倒,踢倒,用力踢对手的脚，使其摔倒进行攻击。对手越重，威力越大。,用力踢對手的腳，讓對手摔倒進行攻擊。對手越重，威力越大。,用力踢對手的腳，使其摔倒進行攻擊。對手越重，威力越大。
双倍奉还,雙倍奉還,从对手那里受到物理攻击的伤害将以２倍返还给同一个对手。,將來自對手的物理攻擊傷害加倍後，返還給該對手。,從對手那裡受到物理攻擊的傷害將以２倍返還給同一個對手。
地球上投,地球上投,利用引力将对手甩飞出去。给予对手和自己等级相同的伤害。,利用引力將對手甩飛出去。給予對手和自己等級相同的傷害。,利用引力將對手甩飛出去。給予對手和自己等級相同的傷害。
怪力,怪力,使出浑身力气殴打对手进行攻击。,使出渾身力量毆打對手進行攻擊。,使出渾身力氣毆打對手進行攻擊。
吸取,吸取,吸取对手的养分进行攻击。可以回复给予对手伤害的一半ＨＰ。,吸取對手的養分進行攻擊。可以回復給予對手傷害的一半ＨＰ。,吸取對手的養分進行攻擊。可以回復給予對手傷害的一半ＨＰ。
超级吸取,超級吸取,吸取对手的养分进行攻击。可以回复给予对手伤害的一半ＨＰ。,吸取對手的養分進行攻擊。可以回復給予對手傷害的一半ＨＰ。,吸取對手的養分進行攻擊。可以回復給予對手傷害的一半ＨＰ。
寄生种子,寄生種子,植入寄生种子后，将在每回合一点一点吸取对手的ＨＰ，从而用来回复自己的ＨＰ。,在對手身上植入種子，每回合吸取對手少許的ＨＰ，用來回復自己的ＨＰ。,植入寄生種子後，將在每回合一點一點吸取對手的ＨＰ，從而用來回復自己的ＨＰ。
生长,生長,让身体一下子长大，从而提高攻击和特攻。,讓身體瞬間長大，提高自己的攻擊和特攻。,讓身體一下子長大，從而提高攻擊和特攻。
飞叶快刀,飛葉快刀,飞出叶片，切斩对手进行攻击。容易击中要害。,飛射葉子，切斬對手進行攻擊。容易擊中要害。,飛出葉片，切斬對手進行攻擊。容易擊中要害。
日光束,日光束,第１回合收集满满的日光，第２回合发射光束进行攻击。,使用後的第１回合吸收大量日光，並於第２回合發射光束進行攻擊。,第１回合收集滿滿的日光，第２回合發射光束進行攻擊。
毒粉,毒粉,撒出毒粉，从而让对手陷入中毒状态。,撒出大量的有毒粉末讓對手陷入中毒狀態。,撒出毒粉，從而讓對手陷入中毒狀態。
麻痹粉,麻痺粉,撒出麻痹粉，从而让对手陷入麻痹状态。,撒出大量令人麻痺的粉末，讓對手陷入麻痺狀態。,撒出麻痺粉，從而讓對手陷入麻痺狀態。
催眠粉,催眠粉,撒出催眠粉，从而让对手陷入睡眠状态。,撒出大量令人想睡的粉末，讓對手陷入睡眠狀態。,撒出催眠粉，從而讓對手陷入睡眠狀態。
花瓣舞,花瓣舞,在２～３回合内，散落花瓣攻击对手。之后自己会陷入混乱。,在２～３回合內不斷灑出花瓣攻擊對手。招式結束後自己會陷入混亂狀態。,在２～３回合內，散落花瓣攻擊對手。之後自己會陷入混亂。
吐丝,吐絲,用口中吐出的丝缠绕对手，从而大幅降低对手的速度。,用口中吐出的絲纏繞對手，大幅降低對手的速度。,用口中吐出的絲纏繞對手，從而大幅降低對手的速度。
龙之怒,龍之怒,将愤怒的冲击波撞向对手进行攻击。必定会给予４０的伤害。,向對手發射憤怒的衝擊波進行攻擊。固定給予４０的傷害。,將憤怒的衝擊波撞向對手進行攻擊。必定會給予４０的傷害。
火焰旋涡,火焰旋渦,将对手困在激烈的火焰旋涡中，在４～５回合内进行攻击。,將對手困在熊熊燃燒的火焰旋渦中，在４～５回合內進行攻擊。,將對手困在激烈的火焰旋渦中，在４～５回合內進行攻擊。
电击,電擊,发出电流刺激对手进行攻击。有时会让对手陷入麻痹状态。,發出電流刺激對手進行攻擊。有時會讓對手陷入麻痺狀態。,發出電流刺激對手進行攻擊。有時會讓對手陷入麻痺狀態。
十万伏特,十萬伏特,向对手发出强力电击进行攻击。有时会让对手陷入麻痹状态。,向對手放出強力電流進行攻擊。有時會讓對手陷入麻痺狀態。,向對手發出強力電擊進行攻擊。有時會讓對手陷入麻痺狀態。
电磁波,電磁波,向对手发出微弱的电击，从而让对手陷入麻痹状态。,放出微弱的電流。讓對手陷入麻痺狀態。,向對手發出微弱的電擊，從而讓對手陷入麻痺狀態。
打雷,打雷,向对手劈下暴雷进行攻击。有时会让对手陷入麻痹状态。,向對手劈下暴雷進行攻擊。有時會讓對手陷入麻痺狀態。,向對手劈下暴雷進行攻擊。有時會讓對手陷入麻痺狀態。
落石,落石,拿起小岩石，投掷对手进行攻击。,舉起小岩石，向對手投擲進行攻擊。,拿起小岩石，投擲對手進行攻擊。
地震,地震,利用地震的冲击，攻击自己周围所有的宝可梦。,用地震的衝擊，攻擊自己周圍所有的寶可夢。,利用地震的衝擊，攻擊自己周圍所有的寶可夢。
地裂,地裂,让对手掉落于地裂的裂缝中进行攻击。只要命中就会一击濒死。,讓對手掉進地面的裂縫中進行攻擊。只要命中就會一擊瀕死。,讓對手掉落於地裂的裂縫中進行攻擊。只要命中就會一擊瀕死。
挖洞,挖洞,第１回合钻入，第２回合攻击对手。,使用後的第１回合潛入地底，並於第２回合攻擊對手。,第１回合鑽入，第２回合攻擊對手。
剧毒,劇毒,让对手陷入剧毒状态。随着回合的推进，中毒伤害会增加。,讓對手陷入劇毒狀態。中毒傷害會隨著回合的進行而增加。,讓對手陷入劇毒狀態。隨著回合的推進，中毒傷害會增加。
念力,念力,向对手发送微弱的念力进行攻击。有时会使对手混乱。,向對手發送微弱的念力進行攻擊。有時會使對手混亂。,向對手發送微弱的念力進行攻擊。有時會使對手混亂。
精神强念,精神強念,向对手发送强大的念力进行攻击。有时会降低对手的特防。,向對手發送強大的念力進行攻擊。有時會降低對手的特防。,向對手發送強大的念力進行攻擊。有時會降低對手的特防。
催眠术,催眠術,施以诱导睡意的暗示，让对手陷入睡眠状态。,施加引發睡意的暗示，讓對手陷入睡眠狀態。,施以誘導睡意的暗示，讓對手陷入睡眠狀態。
瑜伽姿势,瑜伽姿勢,唤醒身体深处沉睡的力量，从而提高自己的攻击。,喚醒身體深處沉睡的力量，提高自己的攻擊。,喚醒身體深處沉睡的力量，從而提高自己的攻擊。
高速移动,高速移動,让身体放松变得轻盈，以便高速移动。大幅提高自己的速度。,放鬆身體，讓自己變得輕盈以進行高速移動。可大幅提高自己的速度。,讓身體放鬆變得輕盈，以便高速移動。大幅提高自己的速度。
电光一闪,電光一閃,以迅雷不及掩耳之势扑向对手。必定能够先制攻击。,以迅雷不及掩耳之勢撲向對手。必定能夠發動先制攻擊。,以迅雷不及掩耳之勢撲向對手。必定能夠先制攻擊。
愤怒,憤怒,如果在使出招式后受到攻击的话，会因愤怒的力量而提高攻击。,在使用招式後受到攻擊時，會因憤怒的力量而提高自己的攻擊。,如果在使出招式後受到攻擊的話，會因憤怒的力量而提高攻擊。
瞬间移动,瞬間移動,停止和野生宝可梦战斗并逃走。,停止和野生寶可夢戰鬥並逃走。,停止和野生寶可夢戰鬥並逃走。
黑夜魔影,黑夜魔影,显示恐怖幻影，只给予对手和自己等级相同的伤害。,讓對手看見恐怖幻影，給予對手和自己等級相同的傷害。,顯示恐怖幻影，只給予對手和自己等級相同的傷害。
模仿,模仿,可以将对手最后使用的招式，在战斗内变成自己的招式。,在戰鬥期間，將對手最近一次使用的招式變成自己的招式。,可以將對手最後使用的招式，在戰鬥內變成自己的招式。
刺耳声,刺耳聲,发出不由自主想要捂起耳朵的刺耳声，从而大幅降低对手的防御。,發出令人不由自主想要摀起耳朵的刺耳聲，大幅降低對手的防禦。,發出不由自主想要捂起耳朵的刺耳聲，從而大幅降低對手的防禦。
影子分身,影子分身,通过快速移动来制造分身，扰乱对手，从而提高闪避率。,利用快速移動製造出分身擾亂對手，提高自己的閃避率。,通過快速移動來製造分身，擾亂對手，從而提高閃避率。
自我再生,自我再生,让细胞再生，从而回复自己最大ＨＰ的一半。,讓細胞再生，回復自己最大ＨＰ的一半。,讓細胞再生，從而回復自己最大ＨＰ的一半。
变硬,變硬,全身使劲，让身体变硬，从而提高自己的防御。,使用全身的力量讓身體硬化，提高自己的防禦。,全身使勁，讓身體變硬，從而提高自己的防禦。
变小,變小,蜷缩身体显得很小，从而大幅提高自己的闪避率。,蜷縮身體使自己顯得很小，大幅提高自己的閃避率。,蜷縮身體顯得很小，從而大幅提高自己的閃避率。
烟幕,煙幕,向对手喷出烟或墨汁等，从而降低对手的命中率。,向對手噴出煙霧或墨汁等，降低對手的命中率。,向對手噴出煙或墨汁等，從而降低對手的命中率。
奇异之光,奇異之光,显示奇怪的光，扰乱对手。使对手混乱。,讓對手看奇怪的光線擾亂對手。使對手混亂。,顯示奇怪的光，擾亂對手。使對手混亂。
缩入壳中,縮入殼中,缩入壳里保护身体，从而提高自己的防御。,縮入殼中保護身體，提高自己的防禦。,縮入殼裡保護身體，從而提高自己的防禦。
变圆,變圓,将身体蜷曲变圆，从而提高自己的防御。,將身體蜷縮成圓形，提高自己的防禦。,將身體蜷曲變圓，從而提高自己的防禦。
屏障,屏障,制造坚固的壁障，从而大幅提高自己的防御。,製造堅固的屏障，大幅提高自己的防禦。,製造堅固的壁障，從而大幅提高自己的防禦。
