妙蛙种子,奇异种子
妙蛙草,奇异草
妙蛙花,奇异花
小火龙,小火龙
火恐龙,火恐龙
喷火龙,喷火龙
杰尼龟,车厘龟
卡咪龟,卡美龟
水箭龟,水箭龟
绿毛虫,绿毛虫
铁甲蛹,铁甲虫
巴大蝴,巴他蝶
独角虫,独角虫
铁壳昆,铁壳蛹
大针蜂,大针蜂
波波,波波
比比鸟,比比鸟
比雕,大比鸟
小拉达,小哥达
拉达,哥达
烈雀,鬼雀
大嘴雀,魔雀
阿柏蛇,阿柏蛇
阿柏怪,阿柏怪
皮卡丘,比卡超
雷丘,雷超
穿山鼠,穿山鼠
穿山王,穿山王
尼多兰,尼美兰
尼多娜,尼美萝
尼多后,尼美后
尼多朗,尼多郎
尼多力诺,尼多利
尼多王,尼多王
皮皮,皮皮
皮可西,皮可斯
六尾,六尾
九尾,九尾
胖丁,波波球
胖可丁,肥波球
超音蝠,波音蝠
大嘴蝠,大口蝠
走路草,行路草
臭臭花,怪味花
霸王花,霸王花
派拉斯,蘑菇虫
派拉斯特,巨菇虫
毛球,毛毛虫
末入蛾,魔鲁风
地鼠,地鼠
三地鼠,三头地鼠
喵喵,喵喵怪
猫老大,高窦猫
可达鸭,傻鸭
哥达鸭,高超鸭
猴怪,猴怪
火爆猴,火爆猴
卡蒂狗,护主犬
风速狗,奉神犬
蚊香蝌蚪,蚊香蝌蚪
蚊香蛙,蚊香蛙
快泳蛙,大力蛙
凯西,卡斯
勇吉拉,尤基纳
胡地,富迪
腕力,铁腕
豪力,大力
怪力,怪力
喇叭芽,喇叭芽
口呆花,口呆花
大食花,大食花
玛瑙水母,大眼水母
毒刺水母,多脚水母
小拳石,小拳石
隆隆石,滚动石
隆隆岩,滚动岩
小火马,小火马
烈焰马,烈焰马
呆呆兽,小呆兽
呆河马,大呆兽
小磁怪,小磁怪
三合一磁怪,三合一磁怪
大葱鸭,火葱鸭
嘟嘟,多多
嘟嘟利,多多利
小海狮,小海狮
白海狮,白海狮
臭泥,烂泥怪
臭臭泥,烂泥兽
大舌贝,贝壳怪
铁甲贝,铁甲贝
鬼斯,鬼斯
鬼斯通,鬼斯通
耿鬼,耿鬼
大岩蛇,大岩蛇
素利普,食梦兽
素利拍,催眠兽
大钳蟹,大钳蟹
巨钳蟹,巨钳蟹
雷电球,霹雳蛋
顽皮弹,雷霆蛋
蛋蛋,蛋蛋
椰蛋树,椰树兽
可拉可拉,卡拉卡拉
嘎拉嘎拉,格拉格拉
沙瓦郎,沙古拉
艾比郎,比华拉
大舌头,大舌头
瓦斯弹,毒气丸
双弹瓦斯,毒气双子
铁甲犀牛,铁甲犀牛
铁甲暴龙,铁甲暴龙
吉利蛋,吉利蛋
蔓藤怪,长藤怪
袋龙,袋兽
墨海马,喷墨海马
海刺龙,飞刺海马
角金鱼,独角金鱼
金鱼王,金鱼王
海星星,海星星
宝石海星,宝石海星
吸盘魔偶,吸盘小丑
飞天螳螂,飞天螳螂
迷唇姐,红唇娃
电击兽,电击兽
鸭嘴火龙,鸭嘴火龙
大甲,钳刀甲虫
肯泰罗,大只牛
鲤鱼王,鲤鱼王
暴鲤龙,鲤鱼龙
乘龙,背背龙
百变怪,百变怪
伊布,伊贝
水精灵,水伊贝
雷精灵,雷伊贝
火精灵,火伊贝
3D龙,立方兽
菊石兽,菊石兽
多刺菊石兽,多刺菊石兽
化石盔,万年虫
镰刀盔,镰刀虫
化石翼龙,化石飞龙
卡比兽,卡比兽
急冻鸟,急冻鸟
闪电鸟,雷鸟
火焰鸟,火鸟
迷你龙,迷你龙
哈克龙,哈古龙
快龙,启暴龙
超梦,超梦梦
梦幻,梦梦
菊草叶,菊草叶
月桂叶,月桂叶
大菊花,大菊花
火球鼠,火球鼠
火岩鼠,火岩鼠
火暴兽,火暴兽
小锯鳄,小锯鳄
蓝鳄,蓝鳄
大力鳄,大力鳄
尾立,尾立
大尾立,大尾立
咕咕,咕咕
猫头夜鹰,猫头夜鹰
芭瓢虫,芭瓢虫
安瓢虫,安瓢虫
线球,线球
阿利多斯,阿利多斯
叉字蝠,叉字蝠
灯笼鱼,灯笼鱼
电灯怪,电灯怪
皮丘,比超
皮宝宝,皮宝宝
宝宝丁,小波球
波克比,小刺蛋
波克基古,波克基古
天然雀,天然雀
天然鸟,天然鸟
咩利羊,咩利羊
绵绵,绵绵
电龙,电龙
美丽花,美丽花
玛力露,马利露
玛力露丽,马利露丽
胡说树,胡说树
牛蛙君,牛蛙君
毽子草,毽子草
毽子花,毽子花
毽子绵,毽子绵
长尾怪手,长尾怪手
向日种子,向日种子
向日花怪,向日花怪
阳阳玛,阳阳玛
乌波,乌波
沼王,沼王
太阳精灵,太阳伊贝
月精灵,月伊贝
黑暗鸦,黑暗鸦
河马王,河马王
梦妖,梦妖
未知图腾,未知图腾
果然翁,果然翁
麒麟奇,麒麟奇
榛果球,榛果球
佛烈托斯,佛烈托斯
土龙弟弟,土龙弟弟
天蝎,天蝎
大钢蛇,大钢蛇
布卢,布鲁
布卢皇,布鲁皇
千针鱼,千针鱼
巨钳螳螂,巨钳螳螂
壶壶,壶壶
赫拉克罗斯,赫拉克罗斯
狃拉,狃拉
熊宝宝,熊宝宝
圈圈熊,圈圈熊
熔岩虫,熔岩虫
熔岩蜗牛,熔岩蜗牛
小山猪,小山猪
长毛猪,长毛猪
太阳珊瑚,太阳珊瑚
铁炮鱼,铁炮鱼
章鱼桶,章鱼桶
信使鸟,信使鸟
巨翅飞鱼,巨翅飞鱼
盔甲鸟,盔甲鸟
戴鲁比,戴鲁比
黑鲁加,黑鲁加
刺龙王,鱼龙王
小小象,小小象
顿甲,冬凡
3D龙II,立方兽II
惊角鹿,惊角鹿
图图犬,图图犬
巴尔郎,巴尔郎
柯波朗,柯波朗
迷唇娃,迷唇娃
电击怪,电击怪
小鸭嘴龙,小鸭嘴龙
大奶罐,大奶罐
幸福蛋,幸福蛋
雷公,雷公
炎帝,炎帝
水君,水君
由基拉,由基拉
沙基拉,沙基拉
班吉拉,班吉拉
洛奇亚,利基亚
凤王,凤凰
雪拉比,雪拉比
木守宫,木守宫
森林蜥蜴,森林蜥蜴
蜥蜴王,蜥蜴王
火稚鸡,火稚鸡
力壮鸡,力壮鸡
火焰鸡,火焰鸡
水跃鱼,水跃鱼
沼跃鱼,沼跃鱼
巨沼怪,巨沼怪
土狼犬,土狼犬
大狼犬,大狼犬
蛇纹熊,蛇纹熊
直冲熊,直冲熊
刺尾虫,刺尾虫
甲壳蛹,甲壳蛹
狩猎凤蝶,狩猎凤蝶
盾甲茧,盾甲茧
毒粉蝶,毒粉蝶
莲叶童子,莲叶童子
莲帽小童,莲帽小童
乐天河童,乐天河童
橡实果,橡实果
长鼻叶,长鼻叶
狡猾天狗,狡猾天狗
傲骨燕,傲骨燕
大王燕,大王燕
长翅鸥,长翅鸥
大嘴鸥,大嘴鸥
拉鲁拉丝,拉鲁拉丝
奇鲁莉安,奇鲁莉安
沙奈朵,沙奈朵
溜溜糖球,溜溜糖球
雨翅蛾,雨翅蛾
蘑蘑菇,蘑蘑菇
斗笠菇,斗笠菇
懒人翁,懒人翁
过动猿,过动猿
请假王,请假王
土居忍士,土居忍士
铁面忍者,铁面忍者
脱壳忍者,脱壳忍者
咕妞妞,咕妞妞
吼爆弹,吼爆弹
爆音怪,爆音怪
幕下力士,幕下力士
超力王,超力王
露力丽,露力丽
朝北鼻,朝北鼻
向尾喵,向尾喵
优雅猫,优雅猫
勾魂眼,勾魂眼
大嘴娃,大嘴娃
可可多拉,可可多拉
可多拉,可多拉
波士可多拉,波士可多拉
玛沙那,玛沙那
恰雷姆,恰雷姆
落雷兽,落雷兽
雷电兽,雷电兽
正电拍拍,正电拍拍
负电拍拍,负电拍拍
电萤虫,电萤虫
甜甜萤,甜甜萤
毒蔷薇,毒蔷薇
溶食兽,溶食兽
吞食兽,吞食兽
利牙鱼,利牙鱼
巨牙鲨,巨牙鲨
吼吼鲸,吼吼鲸
吼鲸王,吼鲸王
呆火驼,呆火驼
喷火驼,喷火驼
煤炭龟,煤炭龟
跳跳猪,跳跳猪
噗噗猪,噗噗猪
晃晃斑,晃晃斑
大颚蚁,大颚蚁
超音波幼虫,超音波幼虫
沙漠蜻蜓,沙漠蜻蜓
沙漠奈亚,沙漠奈亚
梦歌奈亚,梦歌奈亚
青绵鸟,青绵鸟
七夕青鸟,七夕青鸟
猫鼬斩,猫鼬斩
饭匙蛇,饭匙蛇
月石,月石
太阳岩,太阳岩
泥泥鳅,泥泥鳅
鲶鱼王,鲶鱼王
龙虾小兵,龙虾小兵
铁螯龙虾,铁螯龙虾
天秤偶,天秤偶
念力土偶,念力土偶
触手百合,触手百合
摇篮百合,摇篮百合
太古羽虫,太古羽虫
太古盔甲,太古盔甲
笨笨鱼,笨笨鱼
美纳斯,美纳斯
漂浮泡泡,漂浮泡泡
变隐龙,变隐龙
怨影娃娃,怨影娃娃
诅咒娃娃,诅咒娃娃
夜骷颅,夜骷颅
夜巨人,夜巨人
热带龙,热带龙
风铃铃,风铃铃
阿勃梭鲁,阿勃梭鲁
小果然,果然仔
雪童子,雪童子
冰鬼护,冰鬼护
海豹球,海豹球
海魔狮,海魔狮
帝牙海狮,帝牙海狮
珍珠贝,珍珠贝
猎斑鱼,猎斑鱼
樱花鱼,樱花鱼
古空棘鱼,古空棘鱼
爱心鱼,爱心鱼
宝贝龙,宝贝龙
甲壳龙,甲壳龙
暴蝾螈,暴蝾螈
铁哑铃,铁哑铃
金属怪,金属怪
巨金怪,巨金怪
雷吉洛克,雷吉洛克
雷吉艾斯,雷吉艾斯
雷吉斯奇鲁,雷吉斯奇鲁
拉帝亚斯,拉帝亚斯
拉帝欧斯,拉帝欧斯
盖欧卡,盖欧卡
固拉多,固拉多
烈空坐,烈空坐
基拉祈,基拉祈
代欧奇希斯,代欧奇希斯
草苗龟,草苗龟
树林龟,树林龟
土台龟,土台龟
小火焰猴,小火焰猴
猛火猴,猛火猴
烈焰猴,烈焰猴
波加曼,波加曼
波皇子,波皇子
帝王拿波,帝王拿波
姆克儿,姆克儿
姆克鸟,姆克鸟
姆克鹰,姆克鹰
大牙狸,大牙狸
大尾狸,大尾狸
圆法师,圆法师
音箱蟀,音箱蟀
小猫怪,小猫怪
勒克猫,勒克猫
伦琴猫,伦琴猫
含羞苞,含羞苞
罗丝雷朵,罗丝雷朵
头盖龙,头盖龙
战槌龙,战槌龙
盾甲龙,盾甲龙
护城龙,护城龙
结草儿,结草儿
结草贵妇,结草贵妇
绅士蛾,绅士蛾
三蜜蜂,三蜜蜂
蜂后,蜂后
帕奇利兹,帕奇利兹
泳气鼬,泳气鼬
浮潜鼬,浮潜鼬
樱花宝,樱花宝
樱花儿,樱花儿
无壳海牛,无壳海牛
海牛兽,海牛兽
双尾怪手,双尾怪手
飘飘球,飘飘球
附和气球,附和气球
卷卷耳,卷卷耳
长耳兔,长耳兔
梦妖魔,梦妖魔
乌鸦头头,乌鸦头头
魅力喵,魅力喵
东施喵,东施喵
铃铛响,铃铛响
臭鼬噗,臭鼬噗
坦克臭鼬,坦克臭鼬
铜镜怪,铜镜怪
青铜钟,青铜钟
爱哭树,爱哭树
魔尼尼,魔尼尼
好运蛋,好运蛋
聒噪鸟,聒噪鸟
花岩怪,花岩怪
圆陆鲨,圆陆鲨
尖牙陆鲨,尖牙陆鲨
烈咬陆鲨,烈咬陆鲨
小卡比兽,小卡比兽
利欧路,利奥路
路卡利欧,路卡利奥
怪河马,怪河马
河马兽,河马兽
紫天蝎,紫天蝎
龙王蝎,龙王蝎
不良蛙,不良蛙
毒骷蛙,毒骷蛙
尖牙笼,尖牙笼
萤光鱼,萤光鱼
霓虹鱼,霓虹鱼
小球飞鱼,小球飞鱼
雪笠怪,雪笠怪
暴雪王,暴雪王
玛狃拉,玛狃拉
自爆磁怪,自爆磁怪
大舌舔,大舌舔
超铁暴龙,超铁暴龙
巨蔓藤,巨蔓藤
电击魔兽,电击魔兽
鸭嘴焰龙,鸭嘴焰龙
波克基斯,波克基斯
梅卡阳玛,梅卡阳玛
叶精灵,叶伊贝
冰精灵,冰伊贝
天蝎王,天蝎王
象牙猪,象牙猪
3D龙Z,立方兽Z
艾路雷朵,艾路雷朵
大朝北鼻,大朝北鼻
夜黑魔人,夜黑魔人
雪妖女,雪妖女
洛托姆,洛托姆
由克希,由克希
艾姆利多,艾姆利多
亚克诺姆,亚克诺姆
帝牙卢卡,帝牙卢卡
帕路奇犽,帕路奇犽
席多蓝恩,席多蓝恩
雷吉奇卡斯,雷吉奇卡斯
骑拉帝纳,骑拉帝纳
克雷色利亚,克雷色利亚
霏欧纳,霏欧纳
玛纳霏,玛纳霏
达克莱伊,达克莱伊
洁咪,洁咪
阿尔宙斯,阿尔宙斯
比克提尼,比克提尼
藤藤蛇,藤藤蛇
青藤蛇,青藤蛇
君主蛇,君主蛇
暖暖猪,暖暖猪
炒炒猪,炒炒猪
炎武王,炎武王
水水獭,水水獭
双刃丸,双刃丸
大剑鬼,大剑鬼
探探鼠,探探鼠
步哨鼠,步哨鼠
小约克,小约克
哈约克,哈约克
长毛狗,长毛狗
扒手猫,扒手猫
酷豹,酷豹
花椰猴,花椰猴
花椰猿,花椰猿
爆香猴,爆香猴
爆香猿,爆香猿
冷水猴,冷水猴
冷水猿,冷水猿
食梦梦,食梦梦
梦梦蚀,梦梦蚀
豆豆鸽,豆豆鸽
波波鸽,波波鸽
轰隆雉鸡,轰隆雉鸡
斑斑马,斑斑马
雷电斑马,雷电斑马
石丸子,石丸子
地幔岩,地幔岩
庞岩怪,庞岩怪
滚滚蝙蝠,滚滚蝙蝠
心蝙蝠,心蝙蝠
螺钉地鼠,螺钉地鼠
龙头地鼠,龙头地鼠
差不多娃娃,差不多娃娃
搬运小匠,搬运小匠
铁骨土人,铁骨土人
修缮老头,修缮老头
圆蝌蚪,圆蝌蚪
蓝蟾蜍,蓝蟾蜍
蟾蜍王,蟾蜍王
投射鬼,投射鬼
打击鬼,打击鬼
虫宝包,虫宝包
宝包茧,宝包茧
保母虫,保母虫
百足蜈蚣,百足蜈蚣
车轮球,车轮球
蜈蚣王,蜈蚣王
木棉球,木棉球
风妖精,风妖精
百合根娃娃,百合根娃娃
裙儿小姐,裙儿小姐
勇士鲈鱼,勇士鲈鱼
黑眼鳄,黑眼鳄
混混鳄,混混鳄
流氓鳄,流氓鳄
火红不倒翁,火红不倒翁
达摩狒狒,达摩狒狒
街头沙铃,街头沙铃
石居蟹,石居蟹
岩殿居蟹,岩殿居蟹
滑头小子,滑头小子
头巾混混,头巾混混
象征鸟,象征鸟
哭哭面具,哭哭面具
死神棺,死神棺
原盖海龟,原盖海龟
肋骨海龟,肋骨海龟
始祖小鸟,始祖小鸟
始祖大鸟,始祖大鸟
破破袋,破破袋
灰尘山,灰尘山
索罗亚,索罗亚
索罗亚克,索罗亚克
泡沫栗鼠,泡沫栗鼠
奇诺栗鼠,奇诺栗鼠
哥德宝宝,哥德宝宝
哥德小童,哥德小童
哥德小姐,哥德小姐
单卵细胞球,单卵细胞球
双卵细胞球,双卵细胞球
人造细胞卵,人造细胞卵
鸭宝宝,鸭宝宝
首席天鹅,首席天鹅
迷你冰,迷你冰
多多冰,多多冰
双倍多多冰,双倍多多冰
四季鹿,四季鹿
芽吹鹿,芽吹鹿
导电飞鼠,导电飞鼠
盖盖虫,盖盖虫
骑士蜗牛,骑士蜗牛
宝贝球菇,精灵球菇
暴露菇,暴露菇
轻飘飘,轻飘飘
胖嘟嘟,胖嘟嘟
保母曼波,保母曼波
电电虫,电电虫
电蜘蛛,电蜘蛛
种子铁球,种子铁球
坚果哑铃,坚果哑铃
齿轮儿,齿轮儿
齿轮组,齿轮组
齿轮怪,齿轮怪
麻麻小鱼,麻麻小鱼
麻麻鳗,麻麻鳗
麻麻鳗鱼王,麻麻鳗鱼王
小灰怪,小灰怪
大宇怪,大宇怪
烛光灵,烛光灵
灯火幽灵,灯火幽灵
水晶灯火灵,水晶灯火灵
牙牙,牙牙
斧牙龙,斧牙龙
双斧战龙,双斧战龙
喷嚏熊,喷嚏熊
冻原熊,冻原熊
几何雪花,几何雪花
小嘴蜗,小嘴蜗
敏捷虫,敏捷虫
泥巴鱼,泥巴鱼
功夫鼬,功夫鼬
师父鼬,师父鼬
赤面龙,赤面龙
泥偶小人,泥偶小人
泥偶巨人,泥偶巨人
驹刀小兵,驹刀小兵
劈斩司令,劈斩司令
爆爆头水牛,爆爆头水牛
毛头小鹰,毛头小鹰
勇士鹰,勇士鹰
秃鹰小子,秃鹰小子
秃鹰娜,秃鹰娜
食蚁炉,食蚁炉
铁蚁,铁蚁
单首龙,单首龙
双头龙,双头龙
三头龙,三头龙
燃烧虫,燃烧虫
火神虫,火神虫
勾帕路翁,勾帕路翁
代拉基翁,代拉基翁
毕力吉翁,毕力吉翁
龙卷云,龙卷云
雷电云,雷电云
雷希拉姆,雷希拉姆
捷克罗姆,捷克罗姆
土地云,土地云
酋雷姆,酋雷姆
凯路迪欧,凯路迪欧
美洛耶塔,美洛耶塔
盖诺赛克特,盖诺赛克特
哈力栗,哈力马龙
布里卡隆,布里卡隆
火狐狸,火狐狸
妖火红狐,妖火红狐
呱呱泡蛙,呱呱泡蛙
呱头蛙,呱头蛙
甲贺忍蛙,甲贺忍蛙
掘掘兔,掘掘兔
攉土兔,攉地兔
小箭雀,小箭雀
火箭雀,火箭雀
粉蛹,粉蛹
粉蝶蛹,粉蝶蛹
碧粉蝶,碧粉蝶
小狮狮,小狮狮
火炎狮,火炎狮
花蓓蓓,花蓓蓓
坐骑山羊,指路羊
顽皮熊猫,顽皮熊猫
流氓熊猫,流氓熊猫
多丽米亚,多丽米亚
妙喵,妙喵
超能妙喵,超能妙喵
独剑鞘,独剑鞘
双剑鞘,双剑鞘
坚盾剑怪,坚盾剑怪
粉香香,粉香香
绵绵泡芙,绵绵泡芙
豪喇花枝,毫喇鱿
乌贼王,乌贼王
伞电蜥,发电蜥
电伞查特,电伞查特
宝宝暴龙,暴龙仔
冰雪龙,冰雪龙
仙子精灵,仙子伊贝
战斗飞鸟,战斗飞鸟
咚咚鼠,咚咚鼠
小碎钻,小碎钻
钥圈儿,锁圈儿
南瓜精,南瓜精
嗡蝠,嗡蝠
音波龙,音波飞龙
哲尔尼亚斯,哲尔尼亚斯
伊裴尔塔尔,伊秘鲁塔路